   fs     GO-O  GO-O-SV GO-O-DV GO-O-SW
   0    0.08808 0.08148 0.08036 0.10015
   50    0.0881 0.08149 0.08043  0.1002
  100   0.08813 0.08151 0.08049 0.10026
  150   0.08815 0.08153 0.08056 0.10031
  200   0.08817 0.08155 0.08062 0.10036
  250    0.0882 0.08156 0.08069 0.10041
  300   0.08822 0.08158 0.08075 0.10046
  350   0.08825  0.0816 0.08082 0.10051
  400   0.08827 0.08162 0.08088 0.10056
  450    0.0883 0.08163 0.08095 0.10062
  500   0.08832 0.08165 0.08101 0.10067
  550   0.08834 0.08167 0.08107 0.10072
  600   0.08837 0.08169 0.08114 0.10077
  650   0.08839  0.0817  0.0812 0.10082
  700   0.08842 0.08172 0.08127 0.10087
  750   0.08844 0.08174 0.08133 0.10092
  800   0.08846 0.08176 0.08139 0.10097
  850   0.08849 0.08177 0.08146 0.10103
  900   0.08851 0.08179 0.08152 0.10108
  950   0.08854 0.08181 0.08159 0.10113
  1000  0.08856 0.08183 0.08165 0.10118
  1050  0.08859 0.08184 0.08171 0.10123
  1100  0.08861 0.08186 0.08178 0.10128
  1150  0.08863 0.08188 0.08184 0.10133
  1200  0.08866  0.0819  0.0819 0.10138
  1250  0.08868 0.08191 0.08197 0.10143
  1300  0.08871 0.08193 0.08203 0.10148
  1350  0.08873 0.08195 0.08209 0.10153
  1400  0.08875 0.08197 0.08216 0.10159
  1450  0.08878 0.08199 0.08222 0.10164
  1500   0.0888  0.082  0.08228 0.10169
  1550  0.08883 0.08202 0.08235 0.10174
  1600  0.08885 0.08204 0.08241 0.10179
  1650  0.08888 0.08206 0.08247 0.10184
  1700   0.0889 0.08207 0.08254 0.10189
  1750  0.08892 0.08209  0.0826 0.10194
  1800  0.08895 0.08211 0.08266 0.10199
  1850  0.08897 0.08213 0.08272 0.10204
  1900   0.089  0.08215 0.08279 0.10209
  1950  0.08902 0.08216 0.08285 0.10214
  2000  0.08904 0.08218 0.08291 0.10219
  2050  0.08907  0.0822 0.08298 0.10224
  2100  0.08909 0.08222 0.08304 0.10229
  2150  0.08912 0.08224  0.0831 0.10235
  2200  0.08914 0.08225 0.08316  0.1024
  2250  0.08917 0.08227 0.08322 0.10245
  2300  0.08919 0.08229 0.08329  0.1025
  2350  0.08921 0.08231 0.08335 0.10255
  2400  0.08924 0.08233 0.08341  0.1026
  2450  0.08926 0.08234 0.08347 0.10265
  2500  0.08929 0.08236 0.08354  0.1027
  2550  0.08931 0.08238  0.0836 0.10275
  2600  0.08933  0.0824 0.08366  0.1028
  2650  0.08936 0.08242 0.08372 0.10285
  2700  0.08938 0.08244 0.08378  0.1029
  2750  0.08941 0.08245 0.08384 0.10295
  2800  0.08943 0.08247 0.08391  0.103
  2850  0.08946 0.08249 0.08397 0.10305
  2900  0.08948 0.08251 0.08403  0.1031
  2950   0.0895 0.08253 0.08409 0.10315
  3000  0.08953 0.08255 0.08415  0.1032
  3050  0.08955 0.08256 0.08421 0.10325
  3100  0.08958 0.08258 0.08428  0.1033
  3150   0.0896  0.0826 0.08434 0.10335
  3200  0.08962 0.08262  0.0844  0.1034
  3250  0.08965 0.08264 0.08446 0.10345
  3300  0.08967 0.08266 0.08452  0.1035
  3350   0.0897 0.08267 0.08458 0.10355
  3400  0.08972 0.08269 0.08464  0.1036
  3450  0.08974 0.08271  0.0847 0.10365
  3500  0.08977 0.08273 0.08476  0.1037
  3550  0.08979 0.08275 0.08482 0.10375
  3600  0.08982 0.08277 0.08489  0.1038
  3650  0.08984 0.08279 0.08495 0.10385
  3700  0.08987  0.0828 0.08501  0.1039
  3750  0.08989 0.08282 0.08507 0.10395
  3800  0.08991 0.08284 0.08513  0.104
  3850  0.08994 0.08286 0.08519 0.10405
  3900  0.08996 0.08288 0.08525 0.10409
  3950  0.08999  0.0829 0.08531 0.10414
  4000  0.09001 0.08292 0.08537 0.10419
  4050  0.09003 0.08294 0.08543 0.10424
  4100  0.09006 0.08295 0.08549 0.10429
  4150  0.09008 0.08297 0.08555 0.10434
  4200  0.09011 0.08299 0.08561 0.10439
  4250  0.09013 0.08301 0.08567 0.10444
  4300  0.09015 0.08303 0.08573 0.10449
  4350  0.09018 0.08305 0.08579 0.10454
  4400   0.0902 0.08307 0.08585 0.10459
  4450  0.09023 0.08309 0.08591 0.10464
  4500  0.09025 0.08311 0.08597 0.10469
  4550  0.09028 0.08312 0.08603 0.10474
  4600   0.0903 0.08314 0.08609 0.10479
  4650  0.09032 0.08316 0.08615 0.10484
  4700  0.09035 0.08318 0.08621 0.10488
  4750  0.09037  0.0832 0.08627 0.10493
  4800   0.0904 0.08322 0.08633 0.10498
  4850  0.09042 0.08324 0.08639 0.10503
  4900  0.09044 0.08326 0.08645 0.10508
  4950  0.09047 0.08328 0.08651 0.10513
  5000  0.09049  0.0833 0.08656 0.10518
  5050  0.09052 0.08331 0.08662 0.10523
  5100  0.09054 0.08333 0.08668 0.10528
  5150  0.09056 0.08335 0.08674 0.10533
  5200  0.09059 0.08337  0.0868 0.10537
  5250  0.09061 0.08339 0.08686 0.10542
  5300  0.09064 0.08341 0.08692 0.10547
  5350  0.09066 0.08343 0.08698 0.10552
  5400  0.09068 0.08345 0.08704 0.10557
  5450  0.09071 0.08347 0.08709 0.10562
  5500  0.09073 0.08349 0.08715 0.10567
  5550  0.09076 0.08351 0.08721 0.10572
  5600  0.09078 0.08353 0.08727 0.10576
  5650   0.0908 0.08355 0.08733 0.10581
  5700  0.09083 0.08356 0.08739 0.10586
  5750  0.09085 0.08358 0.08745 0.10591
  5800  0.09088  0.0836  0.0875 0.10596
  5850   0.0909 0.08362 0.08756 0.10601
  5900  0.09093 0.08364 0.08762 0.10606
  5950  0.09095 0.08366 0.08768  0.1061
  6000  0.09097 0.08368 0.08774 0.10615
  6050   0.091   0.0837 0.08779  0.1062
  6100  0.09102 0.08372 0.08785 0.10625
  6150  0.09105 0.08374 0.08791  0.1063
  6200  0.09107 0.08376 0.08797 0.10635
  6250  0.09109 0.08378 0.08803  0.1064
  6300  0.09112  0.0838 0.08808 0.10644
  6350  0.09114 0.08382 0.08814 0.10649
  6400  0.09117 0.08384  0.0882 0.10654
  6450  0.09119 0.08386 0.08826 0.10659
  6500  0.09121 0.08388 0.08831 0.10664
  6550  0.09124  0.0839 0.08837 0.10668
  6600  0.09126 0.08392 0.08843 0.10673
  6650  0.09129 0.08394 0.08849 0.10678
  6700  0.09131 0.08396 0.08854 0.10683
  6750  0.09133 0.08398  0.0886 0.10688
  6800  0.09136  0.084  0.08866 0.10693
  6850  0.09138 0.08401 0.08871 0.10697
  6900  0.09141 0.08403 0.08877 0.10702
  6950  0.09143 0.08405 0.08883 0.10707
  7000  0.09145 0.08407 0.08888 0.10712
  7050  0.09148 0.08409 0.08894 0.10717
  7100   0.0915 0.08411  0.089  0.10721
  7150  0.09153 0.08413 0.08905 0.10726
  7200  0.09155 0.08415 0.08911 0.10731
  7250  0.09157 0.08417 0.08917 0.10736
  7300   0.0916 0.08419 0.08922  0.1074
  7350  0.09162 0.08421 0.08928 0.10745
  7400  0.09165 0.08423 0.08934  0.1075
  7450  0.09167 0.08425 0.08939 0.10755
  7500  0.09169 0.08427 0.08945  0.1076
  7550  0.09172 0.08429 0.08951 0.10764
  7600  0.09174 0.08431 0.08956 0.10769
  7650  0.09177 0.08433 0.08962 0.10774
  7700  0.09179 0.08435 0.08968 0.10779
  7750  0.09181 0.08437 0.08973 0.10783
  7800  0.09184 0.08439 0.08979 0.10788
  7850  0.09186 0.08441 0.08984 0.10793
  7900  0.09189 0.08443  0.0899 0.10798
  7950  0.09191 0.08445 0.08995 0.10802
  8000  0.09193 0.08447 0.09001 0.10807
  8050  0.09196  0.0845 0.09007 0.10812
  8100  0.09198 0.08452 0.09012 0.10817
  8150  0.09201 0.08454 0.09018 0.10821
  8200  0.09203 0.08456 0.09023 0.10826
  8250  0.09205 0.08458 0.09029 0.10831
  8300  0.09208  0.0846 0.09034 0.10836
  8350   0.0921 0.08462  0.0904  0.1084
  8400  0.09213 0.08464 0.09045 0.10845
  8450  0.09215 0.08466 0.09051  0.1085
  8500  0.09217 0.08468 0.09057 0.10855
  8550   0.0922  0.0847 0.09062 0.10859
  8600  0.09222 0.08472 0.09068 0.10864
  8650  0.09225 0.08474 0.09073 0.10869
  8700  0.09227 0.08476 0.09079 0.10873
  8750  0.09229 0.08478 0.09084 0.10878
  8800  0.09232  0.0848  0.0909 0.10883
  8850  0.09234 0.08482 0.09095 0.10887
  8900  0.09237 0.08484  0.091  0.10892
  8950  0.09239 0.08486 0.09106 0.10897
