   fs    GO-OH  GO-OH-SV GO-OH-DV GO-OH-SW
   0    0.05604 0.04749 0.07152 0.05051
   50   0.05608 0.04761 0.07153 0.05055
  100   0.05613 0.04773 0.07155 0.05059
  150   0.05617 0.04785 0.07156 0.05064
  200   0.05621 0.04797 0.07158 0.05068
  250   0.05625 0.04809  0.0716 0.05072
  300    0.0563 0.04821 0.07161 0.05077
  350   0.05634 0.04833 0.07163 0.05081
  400   0.05638 0.04846 0.07165 0.05085
  450   0.05643 0.04858 0.07166  0.0509
  500   0.05647  0.0487 0.07168 0.05094
  550   0.05651 0.04881 0.07169 0.05098
  600   0.05655 0.04893 0.07171 0.05103
  650    0.0566 0.04905 0.07173 0.05107
  700   0.05664 0.04917 0.07174 0.05111
  750   0.05668 0.04929 0.07176 0.05115
  800   0.05672 0.04941 0.07178  0.0512
  850   0.05677 0.04953 0.07179 0.05124
  900   0.05681 0.04965 0.07181 0.05128
  950   0.05685 0.04977 0.07182 0.05133
  1000  0.05689 0.04989 0.07184 0.05137
  1050  0.05694 0.05001 0.07186 0.05141
  1100  0.05698 0.05013 0.07187 0.05146
  1150  0.05702 0.05024 0.07189  0.0515
  1200  0.05706 0.05036  0.0719 0.05154
  1250   0.0571 0.05048 0.07192 0.05158
  1300  0.05715  0.0506 0.07194 0.05163
  1350  0.05719 0.05072 0.07195 0.05167
  1400  0.05723 0.05084 0.07197 0.05171
  1450  0.05727 0.05095 0.07199 0.05176
  1500  0.05731 0.05107  0.072   0.0518
  1550  0.05736 0.05119 0.07202 0.05184
  1600   0.0574 0.05131 0.07204 0.05188
  1650  0.05744 0.05142 0.07205 0.05193
  1700  0.05748 0.05154 0.07207 0.05197
  1750  0.05752 0.05166 0.07208 0.05201
  1800  0.05757 0.05178  0.0721 0.05205
  1850  0.05761 0.05189 0.07212  0.0521
  1900  0.05765 0.05201 0.07213 0.05214
  1950  0.05769 0.05213 0.07215 0.05218
  2000  0.05773 0.05224 0.07217 0.05222
  2050  0.05777 0.05236 0.07218 0.05227
  2100  0.05781 0.05248  0.0722 0.05231
  2150  0.05786 0.05259 0.07221 0.05235
  2200   0.0579 0.05271 0.07223 0.05239
  2250  0.05794 0.05283 0.07225 0.05244
  2300  0.05798 0.05294 0.07226 0.05248
  2350  0.05802 0.05306 0.07228 0.05252
  2400  0.05806 0.05317  0.0723 0.05256
  2450   0.0581 0.05329 0.07231  0.0526
  2500  0.05814 0.05341 0.07233 0.05265
  2550  0.05818 0.05352 0.07235 0.05269
  2600  0.05823 0.05364 0.07236 0.05273
  2650  0.05827 0.05375 0.07238 0.05277
  2700  0.05831 0.05387 0.07239 0.05281
  2750  0.05835 0.05398 0.07241 0.05286
  2800  0.05839  0.0541 0.07243  0.0529
  2850  0.05843 0.05421 0.07244 0.05294
  2900  0.05847 0.05433 0.07246 0.05298
  2950  0.05851 0.05444 0.07248 0.05302
  3000  0.05855 0.05456 0.07249 0.05307
  3050  0.05859 0.05467 0.07251 0.05311
  3100  0.05863 0.05479 0.07253 0.05315
  3150  0.05867  0.0549 0.07254 0.05319
  3200  0.05871 0.05501 0.07256 0.05323
  3250  0.05875 0.05513 0.07258 0.05328
  3300  0.05879 0.05524 0.07259 0.05332
  3350  0.05883 0.05536 0.07261 0.05336
  3400  0.05888 0.05547 0.07263  0.0534
  3450  0.05892 0.05558 0.07264 0.05344
  3500  0.05896  0.0557 0.07266 0.05348
  3550   0.059  0.05581 0.07267 0.05353
  3600  0.05904 0.05592 0.07269 0.05357
  3650  0.05908 0.05604 0.07271 0.05361
  3700  0.05912 0.05615 0.07272 0.05365
  3750  0.05916 0.05626 0.07274 0.05369
  3800   0.0592 0.05638 0.07276 0.05373
  3850  0.05924 0.05649 0.07277 0.05377
  3900  0.05928  0.0566 0.07279 0.05382
  3950  0.05932 0.05672 0.07281 0.05386
  4000  0.05936 0.05683 0.07282  0.0539
  4050  0.05939 0.05694 0.07284 0.05394
  4100  0.05943 0.05705 0.07286 0.05398
  4150  0.05947 0.05717 0.07287 0.05402
  4200  0.05951 0.05728 0.07289 0.05406
  4250  0.05955 0.05739 0.07291  0.0541
  4300  0.05959  0.0575 0.07292 0.05415
  4350  0.05963 0.05761 0.07294 0.05419
  4400  0.05967 0.05773 0.07296 0.05423
  4450  0.05971 0.05784 0.07297 0.05427
  4500  0.05975 0.05795 0.07299 0.05431
  4550  0.05979 0.05806 0.07301 0.05435
  4600  0.05983 0.05817 0.07302 0.05439
  4650  0.05987 0.05828 0.07304 0.05443
  4700  0.05991 0.05839 0.07305 0.05447
  4750  0.05995  0.0585 0.07307 0.05451
  4800  0.05999 0.05862 0.07309 0.05456
  4850  0.06002 0.05873  0.0731  0.0546
  4900  0.06006 0.05884 0.07312 0.05464
  4950   0.0601 0.05895 0.07314 0.05468
  5000  0.06014 0.05906 0.07315 0.05472
  5050  0.06018 0.05917 0.07317 0.05476
  5100  0.06022 0.05928 0.07319  0.0548
  5150  0.06026 0.05939  0.0732 0.05484
  5200   0.0603  0.0595 0.07322 0.05488
  5250  0.06033 0.05961 0.07324 0.05492
  5300  0.06037 0.05972 0.07325 0.05496
  5350  0.06041 0.05983 0.07327  0.055
  5400  0.06045 0.05994 0.07329 0.05504
  5450  0.06049 0.06005  0.0733 0.05508
  5500  0.06053 0.06016 0.07332 0.05513
  5550  0.06057 0.06027 0.07334 0.05517
  5600   0.0606 0.06038 0.07335 0.05521
  5650  0.06064 0.06048 0.07337 0.05525
  5700  0.06068 0.06059 0.07339 0.05529
  5750  0.06072  0.0607  0.0734 0.05533
  5800  0.06076 0.06081 0.07342 0.05537
  5850   0.0608 0.06092 0.07344 0.05541
  5900  0.06083 0.06103 0.07345 0.05545
  5950  0.06087 0.06114 0.07347 0.05549
  6000  0.06091 0.06125 0.07349 0.05553
  6050  0.06095 0.06135  0.0735 0.05557
  6100  0.06099 0.06146 0.07352 0.05561
  6150  0.06102 0.06157 0.07354 0.05565
  6200  0.06106 0.06168 0.07355 0.05569
  6250   0.0611 0.06179 0.07357 0.05573
  6300  0.06114 0.06189 0.07359 0.05577
  6350  0.06117  0.062  0.07361 0.05581
  6400  0.06121 0.06211 0.07362 0.05585
  6450  0.06125 0.06222 0.07364 0.05589
  6500  0.06129 0.06232 0.07366 0.05593
  6550  0.06133 0.06243 0.07367 0.05597
  6600  0.06136 0.06254 0.07369 0.05601
  6650   0.0614 0.06265 0.07371 0.05605
  6700  0.06144 0.06275 0.07372 0.05609
  6750  0.06148 0.06286 0.07374 0.05613
  6800  0.06151 0.06297 0.07376 0.05617
  6850  0.06155 0.06307 0.07377 0.05621
  6900  0.06159 0.06318 0.07379 0.05625
  6950  0.06162 0.06329 0.07381 0.05629
  7000  0.06166 0.06339 0.07382 0.05633
  7050   0.0617  0.0635 0.07384 0.05637
  7100  0.06174  0.0636 0.07386 0.05641
  7150  0.06177 0.06371 0.07387 0.05645
  7200  0.06181 0.06382 0.07389 0.05649
  7250  0.06185 0.06392 0.07391 0.05653
  7300  0.06188 0.06403 0.07392 0.05657
  7350  0.06192 0.06413 0.07394 0.05661
  7400  0.06196 0.06424 0.07396 0.05665
  7450  0.06199 0.06434 0.07397 0.05668
  7500  0.06203 0.06445 0.07399 0.05672
  7550  0.06207 0.06455 0.07401 0.05676
  7600   0.0621 0.06466 0.07403  0.0568
  7650  0.06214 0.06476 0.07404 0.05684
  7700  0.06218 0.06487 0.07406 0.05688
  7750  0.06221 0.06497 0.07408 0.05692
  7800  0.06225 0.06508 0.07409 0.05696
  7850  0.06229 0.06518 0.07411  0.057
  7900  0.06232 0.06529 0.07413 0.05704
  7950  0.06236 0.06539 0.07414 0.05708
  8000   0.0624  0.0655 0.07416 0.05712
  8050  0.06243  0.0656 0.07418 0.05716
  8100  0.06247  0.0657 0.07419  0.0572
  8150   0.0625 0.06581 0.07421 0.05723
  8200  0.06254 0.06591 0.07423 0.05727
  8250  0.06258 0.06602 0.07425 0.05731
  8300  0.06261 0.06612 0.07426 0.05735
  8350  0.06265 0.06622 0.07428 0.05739
  8400  0.06268 0.06633  0.0743 0.05743
  8450  0.06272 0.06643 0.07431 0.05747
  8500  0.06276 0.06653 0.07433 0.05751
  8550  0.06279 0.06664 0.07435 0.05755
  8600  0.06283 0.06674 0.07436 0.05758
  8650  0.06286 0.06684 0.07438 0.05762
  8700   0.0629 0.06694  0.0744 0.05766
  8750  0.06294 0.06705 0.07441  0.0577
  8800  0.06297 0.06715 0.07443 0.05774
  8850  0.06301 0.06725 0.07445 0.05778
  8900  0.06304 0.06735 0.07447 0.05782
  8950  0.06308 0.06746 0.07448 0.05786
  9000  0.06311 0.06756  0.0745 0.05789
  9050  0.06315 0.06766 0.07452 0.05793
  9100  0.06318 0.06776 0.07453 0.05797
  9150  0.06322 0.06786 0.07455 0.05801
  9200  0.06325 0.06797 0.07457 0.05805
  9250  0.06329 0.06807 0.07458 0.05809
  9300  0.06332 0.06817  0.0746 0.05813
  9350  0.06336 0.06827 0.07462 0.05816
  9400   0.0634 0.06837 0.07464  0.0582
  9450  0.06343 0.06847 0.07465 0.05824
  9500  0.06347 0.06857 0.07467 0.05828
  9550   0.0635 0.06867 0.07469 0.05832
  9600  0.06354 0.06878  0.0747 0.05836
  9650  0.06357 0.06888 0.07472 0.05839
  9700   0.0636 0.06898 0.07474 0.05843
  9750  0.06364 0.06908 0.07476 0.05847
  9800  0.06367 0.06918 0.07477 0.05851
  9850  0.06371 0.06928 0.07479 0.05855
  9900  0.06374 0.06938 0.07481 0.05858
  9950  0.06378 0.06948 0.07482 0.05862
 10000  0.06381 0.06958 0.07484 0.05866
 10050  0.06385 0.06968 0.07486  0.0587
 10100  0.06388 0.06978 0.07487 0.05874
 10150  0.06392 0.06988 0.07489 0.05877
 10200  0.06395 0.06998 0.07491 0.05881
 10250  0.06399 0.07008 0.07493 0.05885
 10300  0.06402 0.07018 0.07494 0.05889
 10350  0.06405 0.07028 0.07496 0.05893
 10400  0.06409 0.07038 0.07498 0.05896
 10450  0.06412 0.07047 0.07499  0.059
 10500  0.06416 0.07057 0.07501 0.05904
 10550  0.06419 0.07067 0.07503 0.05908
 10600  0.06422 0.07077 0.07505 0.05912
 10650  0.06426 0.07087 0.07506 0.05915
 10700  0.06429 0.07097 0.07508 0.05919
 10750  0.06433 0.07107  0.0751 0.05923
 10800  0.06436 0.07117 0.07511 0.05927
 10850  0.06439 0.07126 0.07513  0.0593
 10900  0.06443 0.07136 0.07515 0.05934
 10950  0.06446 0.07146 0.07517 0.05938
