   fs      Gr    Gr-SV   Gr-DV   Gr-SW
   0    0.10603 0.15859 0.12712 0.07834
   50   0.10612 0.15851 0.12712 0.07855
  100   0.10621 0.15843 0.12713 0.07877
  150    0.1063 0.15836 0.12714 0.07898
  200   0.10639 0.15828 0.12714  0.0792
  250   0.10648  0.1582 0.12715 0.07941
  300   0.10657 0.15812 0.12715 0.07962
  350   0.10666 0.15805 0.12716 0.07984
  400   0.10675 0.15797 0.12716 0.08005
  450   0.10684 0.15789 0.12717 0.08027
  500   0.10693 0.15782 0.12718 0.08048
  550   0.10702 0.15774 0.12718 0.08069
  600   0.10711 0.15766 0.12719 0.08091
  650    0.1072 0.15759 0.12719 0.08112
  700   0.10728 0.15751  0.1272 0.08134
  750   0.10737 0.15743  0.1272 0.08155
  800   0.10746 0.15736 0.12721 0.08176
  850   0.10755 0.15728 0.12722 0.08198
  900   0.10764 0.15721 0.12722 0.08219
  950   0.10773 0.15713 0.12723  0.0824
  1000  0.10782 0.15705 0.12723 0.08262
  1050  0.10791 0.15698 0.12724 0.08283
  1100  0.10799  0.1569 0.12724 0.08304
  1150  0.10808 0.15683 0.12725 0.08326
  1200  0.10817 0.15675 0.12725 0.08347
  1250  0.10826 0.15668 0.12726 0.08369
  1300  0.10835  0.1566 0.12726  0.0839
  1350  0.10843 0.15653 0.12727 0.08411
  1400  0.10852 0.15645 0.12728 0.08433
  1450  0.10861 0.15638 0.12728 0.08454
  1500   0.1087  0.1563 0.12729 0.08475
  1550  0.10879 0.15623 0.12729 0.08497
  1600  0.10887 0.15615  0.1273 0.08518
  1650  0.10896 0.15608  0.1273 0.08539
  1700  0.10905 0.15601 0.12731 0.08561
  1750  0.10914 0.15593 0.12731 0.08582
  1800  0.10922 0.15586 0.12732 0.08603
  1850  0.10931 0.15578 0.12732 0.08625
  1900   0.1094 0.15571 0.12733 0.08646
  1950  0.10948 0.15564 0.12733 0.08667
  2000  0.10957 0.15556 0.12734 0.08688
  2050  0.10966 0.15549 0.12734  0.0871
  2100  0.10974 0.15542 0.12735 0.08731
  2150  0.10983 0.15534 0.12735 0.08752
  2200  0.10992 0.15527 0.12736 0.08774
  2250    0.11   0.1552 0.12736 0.08795
  2300  0.11009 0.15513 0.12737 0.08816
  2350  0.11018 0.15505 0.12737 0.08838
  2400  0.11026 0.15498 0.12738 0.08859
  2450  0.11035 0.15491 0.12738  0.0888
  2500  0.11044 0.15484 0.12739 0.08901
  2550  0.11052 0.15476 0.12739 0.08923
  2600  0.11061 0.15469  0.1274 0.08944
  2650  0.11069 0.15462  0.1274 0.08965
  2700  0.11078 0.15455 0.12741 0.08987
  2750  0.11086 0.15448 0.12741 0.09008
  2800  0.11095  0.1544 0.12742 0.09029
  2850  0.11104 0.15433 0.12742  0.0905
  2900  0.11112 0.15426 0.12743 0.09072
  2950  0.11121 0.15419 0.12743 0.09093
  3000  0.11129 0.15412 0.12744 0.09114
  3050  0.11138 0.15405 0.12744 0.09135
  3100  0.11146 0.15398 0.12744 0.09157
  3150  0.11155 0.15391 0.12745 0.09178
  3200  0.11163 0.15383 0.12745 0.09199
  3250  0.11172 0.15376 0.12746  0.0922
  3300   0.1118 0.15369 0.12746 0.09242
  3350  0.11189 0.15362 0.12747 0.09263
  3400  0.11197 0.15355 0.12747 0.09284
  3450  0.11205 0.15348 0.12748 0.09305
  3500  0.11214 0.15341 0.12748 0.09327
  3550  0.11222 0.15334 0.12749 0.09348
  3600  0.11231 0.15327 0.12749 0.09369
  3650  0.11239  0.1532 0.12749  0.0939
  3700  0.11248 0.15313  0.1275 0.09412
  3750  0.11256 0.15306  0.1275 0.09433
  3800  0.11264 0.15299 0.12751 0.09454
  3850  0.11273 0.15293 0.12751 0.09475
  3900  0.11281 0.15286 0.12752 0.09497
  3950  0.11289 0.15279 0.12752 0.09518
  4000  0.11298 0.15272 0.12752 0.09539
  4050  0.11306 0.15265 0.12753  0.0956
  4100  0.11314 0.15258 0.12753 0.09581
  4150  0.11323 0.15251 0.12754 0.09603
  4200  0.11331 0.15244 0.12754 0.09624
