        GO-COOH GO-COOH-SV GO-COOH-DV GO-COOH-SW
   0       0       0       0       0
 0.0375    0       0       0       0
 0.1125    0       0       0       0
 0.1875    0       0       0       0
 0.2625    0       0       0       0
 0.3375    0       0       0       0
 0.4125    0       0       0       0
 0.4875    0       0       0       0
 0.5625    0       0       0       0
 0.6375    0       0       0       0
 0.7125    0       0       0       0
 0.7875    0       0       0       0
 0.8625    0       0       0       0
 0.9375    0       0       0       0
 1.0125    0       0       0       0
 1.0875    0       0       0       0
 1.1625    0       0       0       0
 1.2375    0       0       0       0
 1.3125    0       0       0       0
 1.3875    0       0       0       0
 1.4625    0       0       0       0
 1.5375    0       0       0       0
 1.6125    0       0       0       0
 1.6875    0       0       0       0
 1.7625    0       0       0       0
 1.8375    0       0       0       0
 1.9125    0       0       0       0
 1.9875    0       0       0       0
 2.0625 0.0003130.00036 0.000439 0.0011
 2.1375 0.02185 0.01916 0.02302  0.0452
 2.2125 0.22354 0.17923 0.24524 0.35536
 2.2875 0.75818 0.59538 0.84284 0.95496
 2.3625 1.26713 0.98548 1.46236 1.35901
 2.4375 1.37081 1.12656 1.62992 1.32498
 2.5125  1.1955 1.01408 1.44059 1.07926
 2.5875 0.93939 0.83262 1.14507 0.80915
 2.6625 0.71946 0.66364 0.85271  0.6075
 2.7375 0.56102 0.52247 0.64358 0.47275
 2.8125 0.45171 0.42218 0.50709 0.37929
 2.8875 0.38214 0.36496 0.41616 0.32101
 2.9625 0.33603 0.32071 0.35879 0.29647
 3.0375 0.30593 0.29624 0.32793 0.26897
 3.1125 0.28414  0.2824 0.31342 0.25345
 3.1875 0.26919 0.27426 0.30031 0.24094
 3.2625  0.2609  0.2689 0.29539  0.2404
 3.3375 0.25622  0.2591 0.28519 0.24453
 3.4125 0.25879 0.24775  0.2776 0.25297
 3.4875 0.27038  0.2423 0.27042 0.26782
 3.5625 0.26751  0.2418 0.26271 0.28101
 3.6375 0.26781 0.24839 0.25067 0.29789
 3.7125 0.27397 0.25932 0.24974 0.30574
 3.7875 0.27169 0.28574 0.25341 0.32677
 3.8625 0.27138  0.3057 0.26211 0.34591
 3.9375  0.2802 0.33518 0.27716 0.36797
 4.0125 0.28667 0.35659 0.28646 0.39365
 4.0875 0.30184 0.38157 0.29976 0.41542
