          GO-O  GO-O-SV GO-O-DV GO-O-SW
   0       0       0       0       0
 0.0375    0       0       0       0
 0.1125    0       0       0       0
 0.1875    0       0       0       0
 0.2625    0       0       0       0
 0.3375    0       0       0       0
 0.4125    0       0       0       0
 0.4875    0       0       0       0
 0.5625    0       0       0       0
 0.6375    0       0       0       0
 0.7125    0       0       0       0
 0.7875    0       0       0       0
 0.8625    0       0       0       0
 0.9375    0       0       0       0
 1.0125    0       0       0       0
 1.0875    0       0       0       0
 1.1625    0       0       0       0
 1.2375    0       0       0       0
 1.3125    0       0       0       0
 1.3875    0       0       0       0
 1.4625    0       0       0       0
 1.5375    0       0       0       0
 1.6125    0       0       0       0
 1.6875    0       0       0       0
 1.7625    0       0       0       0
 1.8375    0       0       0       0
 1.9125    0       0       0       0
 1.9875    0       0       0       0
 2.0625 0.0001550.0001080.0001160.000143
 2.1375 0.03651 0.03607 0.03699 0.03883
 2.2125 0.72144 0.73473 0.73918 0.77742
 2.2875 3.17381 3.26182 3.27632 3.38724
 2.3625  5.5749 5.74078 5.74173 5.89337
 2.4375 5.75295 5.97436 5.93307 6.04486
 2.5125 4.54611 4.73932 4.69623 4.75763
 2.5875 3.24477 3.38876 3.36338 3.37522
 2.6625 2.30938 2.41127 2.39921 2.39319
 2.7375  1.7339 1.79308 1.79736 1.78303
 2.8125  1.4007 1.44025 1.44614 1.42917
 2.8875 1.22339 1.24531  1.2439 1.23582
 2.9625 1.14348 1.15463 1.14748 1.14109
 3.0375 1.11739 1.11637 1.11441 1.10895
 3.1125 1.13424  1.1151 1.12088 1.10903
 3.1875 1.16648 1.13285 1.14458 1.13526
 3.2625 1.20886 1.16619  1.1842 1.17828
 3.3375 1.25232 1.20732 1.22232 1.22543
 3.4125 1.29433 1.25642 1.26572 1.27741
 3.4875 1.33715  1.305  1.31032 1.32819
 3.5625 1.37529 1.35754 1.34857  1.361
 3.6375  1.4031 1.39385 1.38289 1.38977
 3.7125 1.42621 1.41558 1.39683 1.40552
 3.7875 1.43947 1.41737 1.40136 1.40935
 3.8625 1.44059 1.40496 1.39364 1.40229
 3.9375 1.43067 1.37972 1.37307 1.38347
 4.0125 1.40683 1.34794 1.34008 1.35664
 4.0875 1.36822 1.30825 1.30174 1.32815
 4.1625 1.32405 1.27322 1.26373 1.29231
