           Gr    Gr-SV   Gr-DV   Gr-SW
   0       0       0       0       0
 0.0375    0       0       0       0
 0.1125    0       0       0       0
 0.1875    0       0       0       0
 0.2625    0       0       0       0
 0.3375    0       0       0       0
 0.4125    0       0       0       0
 0.4875    0       0       0       0
 0.5625    0       0       0       0
 0.6375    0       0       0       0
 0.7125    0       0       0       0
 0.7875    0       0       0       0
 0.8625    0       0       0       0
 0.9375    0       0       0       0
 1.0125    0       0       0       0
 1.0875    0       0       0       0
 1.1625    0       0       0       0
 1.2375    0       0       0       0
 1.3125    0       0       0       0
 1.3875    0       0       0       0
 1.4625    0       0       0       0
 1.5375    0       0       0       0
 1.6125    0       0       0       0
 1.6875    0       0       0       0
 1.7625    0       0       0       0
 1.8375    0       0       0       0
 1.9125    0       0       0       0
 1.9875    0       0       0       0
 2.0625 0.0002320.0001710.0001890.000133
 2.1375  0.0374 0.03831  0.0422 0.03794
 2.2125 0.74715 0.73788 0.79403 0.75948
 2.2875 3.22698 3.21417 3.39676 3.29164
 2.3625 5.56317 5.59927 5.84223 5.70317
 2.4375 5.67989 5.79733 5.95396 5.84411
 2.5125 4.47962 4.61545 4.66903 4.59631
 2.5875 3.20009 3.32366  3.3261 3.27534
 2.6625 2.29213 2.38202 2.36106 2.32755
 2.7375 1.72231 1.77958  1.7638 1.74771
 2.8125 1.38916 1.42686 1.40995 1.40968
 2.8875 1.20205 1.22525 1.22183 1.22995
 2.9625 1.11105 1.12332 1.12672 1.14182
 3.0375 1.08411 1.08832 1.09123 1.12227
 3.1125 1.09296 1.09452 1.08962 1.13218
 3.1875  1.1224 1.13188  1.1096  1.1622
 3.2625 1.16647 1.18251 1.14435 1.19666
 3.3375 1.21464 1.23947  1.1886 1.24151
 3.4125 1.26952 1.29347 1.24385 1.27875
 3.4875 1.31818 1.34122 1.29402 1.32493
 3.5625 1.36085  1.3798 1.34222 1.36406
 3.6375 1.39682 1.41079 1.38041  1.3995
 3.7125  1.4254 1.43388 1.40481 1.42283
 3.7875 1.44017 1.44429 1.41471 1.43358
 3.8625 1.44024 1.44242 1.41029 1.42323
 3.9375 1.42312 1.42483 1.39272 1.40378
 4.0125 1.39771 1.39475 1.36794 1.37139
 4.0875 1.36126 1.34857 1.33637 1.33849
 4.1625 1.31983 1.29672 1.29867 1.30084
