          GO-O  GO-O-SV GO-O-DV GO-O-SW
   0    0.01388 -0.030330.01425 -0.06075
 0.004  0.41186 0.37379  0.3371 0.39038
 0.008  0.60441  0.5814 0.57262 0.53665
 0.012  0.78578 0.74048 0.75421 0.78013
 0.016  0.96089 0.96525 0.97955 0.98378
  0.02  1.14299 1.08216 1.08021 1.10656
 0.024  1.30995 1.22075 1.23065 1.29428
 0.028  1.52938 1.37714 1.39387 1.41198
 0.032  1.61923 1.52267 1.57373 1.53246
 0.036  1.63827 1.66324  1.6953 1.69213
  0.04  1.76339 1.76599  1.8438 1.75464
 0.044  1.89568 1.80191  1.8168 1.89969
 0.048  1.93607 1.94451 1.90442 2.08253
 0.052  2.01849 2.06897 1.94972 2.13135
 0.056  2.11555 2.09463 2.03728 2.15461
  0.06  2.19057 2.09229 2.09435 2.14314
 0.064   2.1797 2.14336 2.12832 2.26496
 0.068  2.18505 2.12394 2.15718 2.19785
 0.072  2.24823  2.1835 2.20545 2.16118
 0.076  2.27195 2.24062 2.19447 2.15057
  0.08  2.31198 2.20749 2.16979  2.162
 0.084  2.27213 2.16283  2.1834 2.22982
 0.088  2.29419 2.15344 2.20197 2.19854
 0.092  2.34273  2.1797 2.15229 2.08071
 0.096  2.24737 2.18241 2.10659 2.07318
  0.1   2.19475 2.19376 2.08647 2.09999
 0.104  2.22448 2.15087 2.10872 2.03303
 0.108  2.23985 2.14404 2.05604 2.09664
 0.112  2.22119 2.06185 2.09907 2.07177
 0.116  2.18474  2.0489 1.99826 2.02375
  0.12  2.12056 2.00631 1.96567 1.97227
 0.124  2.09977 2.05838 1.98958 1.98132
 0.128  2.11135 1.95687 1.98677 2.01905
 0.132  2.12381 1.88405 1.96489 2.00982
 0.136   2.0287 1.82468 1.95826 1.98958
  0.14  1.98142 1.88167 1.94764 1.93045
 0.144   1.9727 1.84932 1.89804  1.912
 0.148  1.93669 1.87309 1.92411 2.00993
 0.152  1.90186 1.87005 1.91085 2.05332
 0.156  1.89973 1.81326 1.91057 1.98602
  0.16  1.81139 1.83885 1.90391 1.89796
 0.164   1.757  1.82035 1.87366 1.89813
 0.168  1.79222 1.78592 1.86273 1.86012
 0.172  1.78093 1.78584 1.84319 1.86207
 0.176  1.73116 1.78279 1.80709 1.84929
  0.18  1.73726 1.77023 1.80596 1.75573
 0.184  1.67191 1.71055  1.7707 1.76829
 0.188  1.65757 1.73053 1.77459 1.66842
 0.192  1.56612 1.66338 1.77429 1.61582
 0.196  1.47127 1.65496 1.70059 1.60711
  0.2   1.44462 1.68347 1.68116 1.57065
 0.204   1.3957 1.67818 1.62361 1.49374
 0.208    1.47  1.70739 1.66512 1.48764
 0.212  1.43363  1.7112 1.60252 1.48518
 0.216  1.34204 1.64147 1.64459  1.4426
  0.22  1.33465 1.68139 1.65362 1.47957
 0.224  1.33327 1.63966 1.54343 1.51796
 0.228  1.33197 1.60178 1.51052 1.51196
 0.232  1.25163 1.54026 1.47659 1.49361
 0.236  1.21941 1.52304 1.42101 1.43167
  0.24   1.1944 1.59333 1.34351 1.39258
 0.244  1.15907 1.60403  1.3261 1.46088
 0.248  1.17674 1.53983  1.3072 1.50773
 0.252  1.15999 1.52582 1.29366 1.50963
 0.256  1.06233 1.44197 1.19495 1.51347
  0.26  1.06996  1.3833 1.17203 1.47973
 0.264  1.07536 1.42132 1.14087 1.46582
 0.268  1.09636 1.37207 1.17022  1.4229
 0.272  1.08846 1.35068 1.11606 1.41261
 0.276  1.00769 1.28493  1.1006 1.36937
  0.28  0.96266  1.2598 1.08085 1.34756
 0.284  1.02363 1.26313 1.09799 1.33135
 0.288  0.95147 1.20088 1.07189 1.37488
 0.292  0.91206 1.17201 1.09042 1.34655
 0.296  0.90216 1.15336 1.08646 1.28056
  0.3   0.86365 1.10937 1.05216 1.23469
 0.304  0.86362 1.08513 1.12372 1.16805
 0.308  0.85912 1.01034 1.08037 1.21689
 0.312  0.81218  1.095  1.01299 1.15629
 0.316  0.83169 1.06638 1.00622 1.11152
  0.32  0.83152 1.07861 1.02573 1.08848
 0.324  0.74061 1.08036 0.99236 1.07364
 0.328  0.72442 1.06401 0.95011 1.02476
 0.332  0.71243 1.04275  0.9098 0.90972
 0.336  0.69806 1.03311 0.89079 0.95135
  0.34  0.67933 1.01264  0.8369 0.92715
 0.344  0.68705 0.97426 0.82232 0.84948
 0.348  0.66073 0.98737 0.79854 0.85339
 0.352  0.64101 0.92459 0.73868 0.88609
 0.356  0.66837 0.86306 0.68798 0.78788
  0.36  0.63882 0.86914 0.65796 0.73644
 0.364  0.61535 0.90443 0.66204  0.7216
 0.368  0.57365 0.83082 0.59281 0.75525
 0.372  0.64009 0.84623  0.5745 0.65028
 0.376   0.6373 0.79897 0.60598 0.70371
  0.38  0.65287 0.70859 0.54559  0.6161
 0.384  0.57649 0.69906 0.48235 0.61279
 0.388   0.5894 0.73556 0.49413 0.63188
 0.392  0.58634 0.72915 0.49914 0.59775
 0.396  0.55855 0.62883 0.44724 0.58311
  0.4   0.62441 0.56313 0.45408 0.54999
 0.404  0.46982 0.57418 0.46143 0.53803
 0.408  0.50196 0.61415 0.40195 0.53918
 0.412  0.48796  0.5479 0.41201 0.57019
 0.416  0.46363 0.52715 0.42392 0.54336
  0.42  0.46578 0.55515  0.4346 0.49744
 0.424  0.51405 0.50141 0.40965 0.48039
 0.428  0.39922 0.54198 0.39308 0.49303
 0.432  0.37809 0.54564  0.3906 0.48052
 0.436  0.40597 0.46158 0.37011 0.46994
  0.44  0.37208 0.50877 0.36536 0.44405
 0.444  0.34239 0.44939 0.36915 0.41258
 0.448  0.36507 0.41387 0.38512 0.40878
 0.452  0.31177 0.37495 0.34148 0.39966
 0.456  0.29339 0.45936 0.29425  0.3178
  0.46  0.29723 0.41998 0.29401 0.33507
 0.464  0.27444 0.40582 0.32124 0.31796
 0.468  0.24723 0.40986 0.31079 0.25524
 0.472  0.25071 0.34613 0.31631 0.27722
 0.476  0.28104 0.31049 0.27869 0.27099
  0.48  0.24001 0.32857 0.30913  0.2869
 0.484  0.27731 0.35341 0.33914 0.22116
 0.488  0.23692 0.35671  0.3401 0.20443
 0.492  0.25633 0.32331 0.32098  0.2444
 0.496  0.24852 0.35767 0.33022 0.22427
  0.5   0.23595 0.36542 0.30821 0.22278
 0.504  0.22137 0.32819 0.25702 0.20878
 0.508  0.21343 0.26569 0.24758 0.20063
 0.512   0.2654 0.28957 0.26485 0.19489
 0.516  0.28284 0.28842 0.28878 0.22793
  0.52  0.23098 0.26123 0.33442 0.16771
 0.524  0.19973  0.2502 0.32831 0.15426
 0.528  0.16832 0.24032 0.31321 0.21852
 0.532  0.18855 0.29479 0.29673 0.18903
 0.536  0.21006 0.21158 0.27809 0.15775
  0.54  0.17667 0.18374 0.30616  0.2019
 0.544  0.15986 0.20269 0.32573  0.2127
 0.548  0.18098 0.21107 0.27977  0.199
 0.552  0.16036 0.23427 0.30239 0.15002
 0.556   0.1453 0.18344 0.33013 0.15049
  0.56  0.09191 0.17749 0.28913 0.16766
 0.564  0.13025 0.18074 0.24541  0.169
 0.568  0.13586 0.20592 0.30455 0.15015
 0.572  0.10504 0.21927 0.31661  0.1628
 0.576  0.10153 0.23493 0.30444 0.18061
  0.58  0.14504 0.21832 0.32898 0.15836
 0.584  0.11829 0.10214 0.32066 0.11024
 0.588  0.13625 0.14478 0.33571 0.09532
 0.592  0.10451 0.18601 0.29795 0.11705
 0.596  0.07149 0.24078 0.23831  0.1015
  0.6    0.0931 0.22847 0.32896 0.10619
 0.604  0.09649 0.26744 0.31867 0.07772
 0.608  0.11315 0.22111 0.31294 0.09306
 0.612  0.09428 0.22972 0.30248 0.12168
 0.616  0.05236 0.22213 0.29495 0.12208
  0.62  0.03201 0.18319 0.27001 0.09848
 0.624  0.03888 0.19639 0.26958 0.06678
 0.628  0.01674 0.23526 0.21822  0.0619
 0.632  0.01048 0.22066  0.1696 0.07628
 0.636  0.08868 0.18662  0.1537 0.07815
  0.64  0.04466 0.18333 0.23854 0.09694
 0.644  0.07175 0.17527 0.22766 0.12895
 0.648  -0.000890.14403 0.21101 0.09375
 0.652   0.0281 0.12285 0.20384 0.08525
 0.656  -0.013770.11169 0.20539  0.1677
  0.66  -0.035490.14536 0.16897 0.11395
