   fs      Gr     GO-O   GO-OH  GO-COOH
   0    0.10603 0.08808 0.05604 0.05171
   50   0.10612  0.0881 0.05608 0.05173
  100   0.10621 0.08813 0.05613 0.05174
  150    0.1063 0.08815 0.05617 0.05175
  200   0.10639 0.08817 0.05621 0.05176
  250   0.10648  0.0882 0.05625 0.05177
  300   0.10657 0.08822  0.0563 0.05178
  350   0.10666 0.08825 0.05634 0.05179
  400   0.10675 0.08827 0.05638  0.0518
  450   0.10684  0.0883 0.05643 0.05181
  500   0.10693 0.08832 0.05647 0.05182
  550   0.10702 0.08834 0.05651 0.05183
  600   0.10711 0.08837 0.05655 0.05184
  650    0.1072 0.08839  0.0566 0.05185
  700   0.10728 0.08842 0.05664 0.05187
  750   0.10737 0.08844 0.05668 0.05188
  800   0.10746 0.08846 0.05672 0.05189
  850   0.10755 0.08849 0.05677  0.0519
  900   0.10764 0.08851 0.05681 0.05191
  950   0.10773 0.08854 0.05685 0.05192
  1000  0.10782 0.08856 0.05689 0.05193
  1050  0.10791 0.08859 0.05694 0.05194
  1100  0.10799 0.08861 0.05698 0.05195
  1150  0.10808 0.08863 0.05702 0.05196
  1200  0.10817 0.08866 0.05706 0.05197
  1250  0.10826 0.08868  0.0571 0.05198
  1300  0.10835 0.08871 0.05715 0.05199
  1350  0.10843 0.08873 0.05719  0.052
  1400  0.10852 0.08875 0.05723 0.05201
  1450  0.10861 0.08878 0.05727 0.05203
  1500   0.1087  0.0888 0.05731 0.05204
  1550  0.10879 0.08883 0.05736 0.05205
  1600  0.10887 0.08885  0.0574 0.05206
  1650  0.10896 0.08888 0.05744 0.05207
  1700  0.10905  0.0889 0.05748 0.05208
  1750  0.10914 0.08892 0.05752 0.05209
  1800  0.10922 0.08895 0.05757  0.0521
  1850  0.10931 0.08897 0.05761 0.05211
  1900   0.1094  0.089  0.05765 0.05212
  1950  0.10948 0.08902 0.05769 0.05213
  2000  0.10957 0.08904 0.05773 0.05214
  2050  0.10966 0.08907 0.05777 0.05215
  2100  0.10974 0.08909 0.05781 0.05216
  2150  0.10983 0.08912 0.05786 0.05217
  2200  0.10992 0.08914  0.0579 0.05218
  2250    0.11  0.08917 0.05794  0.0522
  2300  0.11009 0.08919 0.05798 0.05221
  2350  0.11018 0.08921 0.05802 0.05222
  2400  0.11026 0.08924 0.05806 0.05223
  2450  0.11035 0.08926  0.0581 0.05224
  2500  0.11044 0.08929 0.05814 0.05225
  2550  0.11052 0.08931 0.05818 0.05226
  2600  0.11061 0.08933 0.05823 0.05227
  2650  0.11069 0.08936 0.05827 0.05228
  2700  0.11078 0.08938 0.05831 0.05229
  2750  0.11086 0.08941 0.05835  0.0523
  2800  0.11095 0.08943 0.05839 0.05231
  2850  0.11104 0.08946 0.05843 0.05232
  2900  0.11112 0.08948 0.05847 0.05233
  2950  0.11121  0.0895 0.05851 0.05234
  3000  0.11129 0.08953 0.05855 0.05235
  3050  0.11138 0.08955 0.05859 0.05236
  3100  0.11146 0.08958 0.05863 0.05237
  3150  0.11155  0.0896 0.05867 0.05238
  3200  0.11163 0.08962 0.05871  0.0524
  3250  0.11172 0.08965 0.05875 0.05241
  3300   0.1118 0.08967 0.05879 0.05242
  3350  0.11189  0.0897 0.05883 0.05243
  3400  0.11197 0.08972 0.05888 0.05244
  3450  0.11205 0.08974 0.05892 0.05245
  3500  0.11214 0.08977 0.05896 0.05246
  3550  0.11222 0.08979  0.059  0.05247
  3600  0.11231 0.08982 0.05904 0.05248
  3650  0.11239 0.08984 0.05908 0.05249
  3700  0.11248 0.08987 0.05912  0.0525
  3750  0.11256 0.08989 0.05916 0.05251
  3800  0.11264 0.08991  0.0592 0.05252
  3850  0.11273 0.08994 0.05924 0.05253
  3900  0.11281 0.08996 0.05928 0.05254
  3950  0.11289 0.08999 0.05932 0.05255
  4000  0.11298 0.09001 0.05936 0.05256
  4050  0.11306 0.09003 0.05939 0.05257
