GO-COOH  Ca-Os   Ca-Ow   Ca-Oc
   0       0       0       0
 0.0375    0       0       0
 0.1125    0       0       0
 0.1875    0       0       0
 0.2625    0       0       0
 0.3375    0       0       0
 0.4125    0       0       0
 0.4875    0       0       0
 0.5625    0       0       0
 0.6375    0       0       0
 0.7125    0       0       0
 0.7875    0       0       0
 0.8625    0       0       0
 0.9375    0       0       0
 1.0125    0       0       0
 1.0875    0       0       0
 1.1625    0       0       0
 1.2375    0       0       0
 1.3125    0       0       0
 1.3875    0       0       0
 1.4625    0       0       0
 1.5375    0       0       0
 1.6125    0       0       0
 1.6875    0       0       0
 1.7625    0       0       0
 1.8375    0       0       0
 1.9125    0       0       0
 1.9875 5.67E-06   0       0
 2.0625 0.01438 0.0001540.000313
 2.1375 0.77843 0.03852 0.02185
 2.2125 4.63175 0.76582 0.22354
 2.2875 7.44429 3.40235 0.75818
 2.3625 5.71143 6.02153 1.26713
 2.4375  3.104  6.27329 1.37081
 2.5125 1.53628 4.97868  1.1955
 2.5875 0.79711 3.55228 0.93939
 2.6625 0.46404 2.50896 0.71946
 2.7375 0.30958 1.86602 0.56102
 2.8125  0.2345 1.48528 0.45171
 2.8875 0.19924 1.28135 0.38214
 2.9625 0.18626 1.17789 0.33603
 3.0375 0.18983  1.1475 0.30593
 3.1125 0.20341 1.15929 0.28414
 3.1875 0.22991 1.18897 0.26919
 3.2625 0.26589 1.23072  0.2609
 3.3375 0.31159 1.28188 0.25622
 3.4125 0.36552 1.33763 0.25879
 3.4875 0.42765 1.39089 0.27038
 3.5625 0.49629  1.4375 0.26751
 3.6375 0.57275 1.47196 0.26781
 3.7125 0.65464 1.49389 0.27397
 3.7875 0.74443 1.49826 0.27169
 3.8625 0.83292 1.48577 0.27138
 3.9375 0.92124 1.45836  0.2802
 4.0125 0.99667 1.41811 0.28667
 4.0875 1.06408 1.37666 0.30184
 4.1625 1.12409 1.32714 0.32397
 4.2375 1.17283  1.2809 0.34837
 4.3125 1.20553 1.24702 0.37306
 4.3875 1.23116 1.22041 0.40439
 4.4625 1.25734 1.20419 0.43381
 4.5375 1.28956 1.19404 0.46065
 4.6125 1.32176 1.19262 0.47985
 4.6875  1.3364 1.19259 0.49747
 4.7625 1.28376 1.18845 0.50294
 4.8375 1.15988 1.17634 0.50611
 4.9125 1.03009 1.16003 0.50252
 4.9875  0.9488 1.15136 0.50341
 5.0625 0.90894 1.15416  0.5021
 5.1375 0.89666 1.15709 0.49905
 5.2125 0.90034 1.16203 0.50145
 5.2875 0.91044  1.1593 0.49876
 5.3625  0.9248 1.15183 0.49888
 5.4375 0.93868 1.14245 0.49338
 5.5125 0.95458 1.12647 0.48776
 5.5875 0.97228 1.10605 0.48634
 5.6625 0.98766 1.08475 0.48883
 5.7375 1.00318 1.06036  0.486
 5.8125 1.01751 1.03606 0.48062
 5.8875 1.03232 1.01251 0.47087
 5.9625 1.05243 0.99192 0.46407
 6.0375 1.07379 0.97344 0.45931
 6.1125 1.09864 0.95659 0.46267
 6.1875 1.12563 0.94022 0.46529
 6.2625 1.15419  0.925  0.46773
 6.3375 1.18488 0.91268 0.47613
 6.4125 1.21811 0.89989 0.48151
 6.4875 1.25298 0.88862  0.4891
 6.5625  1.2864 0.87841 0.49293
 6.6375 1.31504 0.87041 0.50233
 6.7125 1.34105 0.86724 0.51139
 6.7875  1.362  0.86465 0.51766
 6.8625 1.37856 0.86212 0.52504
 6.9375 1.38653  0.8602 0.52935
 7.0125 1.38814 0.85848  0.5346
 7.0875  1.3835 0.85769 0.53493
 7.1625 1.37187 0.85436 0.53652
 7.2375 1.35218 0.85105 0.53966
 7.3125 1.32488 0.84824 0.54092
 7.3875 1.29627 0.84813 0.54416
 7.4625 1.27131 0.84729 0.55066
 7.5375 1.24936 0.84806 0.56001
 7.6125 1.23026  0.8498 0.57142
 7.6875 1.21275 0.85041 0.58563
 7.7625 1.19462 0.85132 0.59269
 7.8375 1.17831  0.8522  0.5989
 7.9125 1.16602 0.85423 0.60487
 7.9875 1.15602 0.85895 0.61453
 8.0625 1.14902 0.86526 0.62537
 8.1375  1.1423 0.87245 0.63486
 8.2125 1.13648 0.88061  0.6393
 8.2875 1.13097 0.88863 0.64031
 8.3625 1.12645  0.8979  0.6368
 8.4375 1.12295 0.90679 0.62961
 8.5125 1.11961  0.9159  0.6223
 8.5875 1.11964 0.92545 0.61949
 8.6625 1.11977 0.93136 0.61672
 8.7375 1.11985 0.93682 0.61542
 8.8125 1.11998 0.94093  0.6175
 8.8875 1.12071 0.94514 0.62449
 8.9625 1.12034 0.94779 0.62931
 9.0375 1.12436 0.94938 0.63863
 9.1125 1.12832 0.95007 0.64648
 9.1875 1.13248 0.94847  0.6498
 9.2625  1.137  0.94578 0.65471
 9.3375 1.14029 0.94443  0.6566
 9.4125 1.14448 0.94208 0.65559
 9.4875  1.1489 0.94358 0.65247
 9.5625 1.15476 0.94509 0.65412
 9.6375 1.15891 0.94723  0.6616
 9.7125 1.16163 0.95082 0.67218
 9.7875 1.16004 0.95429 0.68705
 9.8625 1.15467 0.95759 0.70127
 9.9375 1.14616 0.95921 0.71209
10.0125 1.13379 0.96386 0.71859
10.0875 1.11935 0.96803 0.72389
10.1625 1.10112 0.97514 0.72784
10.2375  1.0838 0.98483 0.73255
10.3125 1.06976 0.99487 0.73574
10.3875 1.05937 1.00338 0.74393
10.4625 1.05283 1.01251 0.75096
10.5375 1.04956 1.01794 0.75704
10.6125 1.05027 1.02313 0.75971
10.6875 1.05133 1.02777 0.75854
10.7625 1.05399 1.03182  0.7539
10.8375 1.05599 1.03675  0.7488
10.9125 1.05552 1.04372  0.7443
10.9875 1.05438 1.05074 0.73647
11.0625 1.05133 1.05894 0.73404
11.1375 1.04561 1.06702 0.72885
11.2125  1.0396 1.07593 0.72539
11.2875 1.03202 1.08339 0.72266
11.3625 1.02494 1.08939 0.72061
11.4375 1.02004  1.095  0.72138
11.5125 1.01685  1.0988 0.72158
11.5875 1.01583 1.10187 0.72844
11.6625 1.01767 1.10218 0.73654
11.7375 1.01913 1.10269 0.74337
11.8125 1.01914  1.1028 0.75258
11.8875 1.01768 1.10197 0.75909
11.9625 1.01575 1.10216  0.7671
12.0375 1.01237  1.1014 0.76964
12.1125 1.01031 1.10069 0.77081
12.1875 1.00638 1.09971 0.77263
12.2625 1.00302 1.09897 0.77571
12.3375 0.99934  1.0975 0.78217
12.4125 0.99594 1.09633 0.78854
12.4875 0.99235 1.09611  0.8014
12.5625 0.99044 1.09469 0.81636
12.6375 0.98724 1.09461 0.82657
12.7125 0.98532 1.09451 0.83704
12.7875 0.98304  1.0943 0.84271
12.8625 0.98162 1.09573 0.84483
12.9375 0.98045 1.09515 0.84382
13.0125 0.97869 1.09584  0.8436
13.0875 0.97752 1.09626 0.84201
13.1625 0.97609 1.09807 0.84102
13.2375 0.97571 1.10058 0.84084
13.3125 0.97583 1.10384  0.8389
13.3875 0.97708 1.10731 0.83722
13.4625 0.97671 1.11061 0.83401
13.5375 0.97521 1.11501 0.83047
13.6125 0.97266 1.11876 0.82721
13.6875 0.97007 1.12372 0.82057
13.7625  0.9693 1.12806 0.81795
13.8375 0.96815 1.13276  0.8158
13.9125 0.96668 1.13605 0.81592
13.9875 0.96531 1.13931  0.8149
14.0625 0.96241 1.14051 0.81636
14.1375 0.96022 1.14089 0.82059
14.2125 0.95803 1.13949 0.82461
14.2875 0.95644 1.13798  0.8319
14.3625 0.95534 1.13618 0.84157
14.4375  0.9544 1.13346  0.8508
14.5125 0.95437 1.12992 0.86007
14.5875 0.95268 1.12617 0.86602
14.6625 0.95218 1.12205 0.87038
14.7375 0.95144 1.11955 0.87085
14.8125 0.95258 1.11634 0.86792
14.8875 0.95411 1.11317 0.86603
14.9625 0.95528 1.11034 0.86405
