  GO-O   Ca-Os   Ca-Ow   Ca-Oc
   0       0       0       0
 0.0375    0       0       0
 0.1125    0       0       0
 0.1875    0       0       0
 0.2625    0       0       0
 0.3375    0       0       0
 0.4125    0       0       0
 0.4875    0       0       0
 0.5625    0       0       0
 0.6375    0       0       0
 0.7125    0       0       0
 0.7875    0       0       0
 0.8625    0       0       0
 0.9375    0       0       0
 1.0125    0       0       0
 1.0875    0       0       0
 1.1625    0       0       0
 1.2375    0       0       0
 1.3125    0       0       0
 1.3875    0       0       0
 1.4625    0       0       0
 1.5375    0       0       0
 1.6125    0       0       0
 1.6875    0       0       0
 1.7625    0       0       0
 1.8375    0       0       0
 1.9125    0       0       0
 1.9875 8.1E-06    0       0
 2.0625 0.01507 0.0001553.73E-05
 2.1375 0.80833 0.03651 0.00274
 2.2125 4.68445 0.72144 0.04842
 2.2875 7.31475 3.17381 0.25264
 2.3625 5.50839  5.5749 0.58512
 2.4375  2.9752 5.75295 0.86169
 2.5125 1.47463 4.54611 0.86684
 2.5875 0.77049 3.24477 0.81692
 2.6625 0.44503 2.30938 0.65093
 2.7375 0.29363  1.7339 0.50104
 2.8125 0.21939  1.4007 0.39735
 2.8875 0.18203 1.22339  0.3344
 2.9625 0.16832 1.14348 0.30328
 3.0375  0.1674 1.11739 0.27941
 3.1125 0.17829 1.13424 0.27115
 3.1875 0.19887 1.16648 0.25521
 3.2625 0.22999 1.20886  0.2498
 3.3375 0.27274 1.25232 0.26091
 3.4125 0.32663 1.29433  0.275
 3.4875 0.39279 1.33715 0.28352
 3.5625 0.46563 1.37529 0.29813
 3.6375 0.54653  1.4031 0.30489
 3.7125 0.62937 1.42621 0.30334
 3.7875 0.71331 1.43947 0.30725
 3.8625 0.79592 1.44059 0.30061
 3.9375 0.87027 1.43067 0.29687
 4.0125 0.94299 1.40683 0.29461
 4.0875 1.01958 1.36822 0.28858
 4.1625 1.09798 1.32405  0.2824
 4.2375 1.16474 1.27939  0.2874
 4.3125 1.20756 1.24261 0.29316
 4.3875 1.22974 1.21252 0.30284
 4.4625 1.24317 1.19091 0.32165
 4.5375 1.26065 1.17459  0.3409
 4.6125  1.2901 1.16731 0.35991
 4.6875 1.30829  1.1629 0.37514
 4.7625 1.25759 1.15177 0.39107
 4.8375 1.12647 1.13403 0.40161
 4.9125 0.99069  1.1119 0.41478
 4.9875 0.91069  1.0938 0.43191
 5.0625 0.87681 1.08457 0.46442
 5.1375 0.86865 1.08184 0.48812
 5.2125 0.87148  1.0873 0.50873
 5.2875 0.87756  1.0895 0.52512
 5.3625 0.88282 1.08845 0.53283
 5.4375 0.88806 1.08121 0.55314
 5.5125 0.89231 1.06809 0.56415
 5.5875 0.90017 1.05191  0.5821
 5.6625 0.91068  1.0307 0.59728
 5.7375 0.92728 1.00846 0.61261
 5.8125  0.948  0.98501 0.62054
 5.8875 0.97313 0.96113 0.62822
 5.9625 1.00499 0.94182 0.63083
 6.0375 1.03789 0.92323 0.63484
 6.1125 1.07288  0.9077 0.63586
 6.1875 1.10675 0.89339 0.64464
 6.2625 1.13922 0.87758 0.64941
 6.3375 1.16761 0.86573 0.65364
 6.4125 1.18836 0.85602 0.66123
 6.4875 1.20699  0.8503 0.66876
 6.5625 1.22242  0.8459 0.68206
 6.6375 1.24082 0.84286 0.68871
 6.7125  1.262  0.83685 0.69542
 6.7875  1.2859  0.8321 0.69877
 6.8625 1.30562 0.82821 0.69792
 6.9375 1.32146 0.82409  0.6909
 7.0125 1.32727 0.82242 0.68263
 7.0875 1.32279 0.82124 0.67331
 7.1625 1.31138 0.82291 0.67012
 7.2375 1.29175 0.82417 0.67359
 7.3125 1.26798 0.82679  0.6786
 7.3875  1.2467 0.82939 0.68872
 7.4625 1.22701 0.83258 0.69923
 7.5375 1.20849 0.83508 0.70757
 7.6125 1.19288  0.8376 0.71408
 7.6875 1.17416 0.83893 0.72236
 7.7625 1.15489 0.84153 0.72691
 7.8375 1.13629  0.8463 0.73569
 7.9125 1.11897  0.851  0.74713
 7.9875 1.10662  0.8575 0.75734
 8.0625 1.09685 0.86275 0.77716
 8.1375 1.09098 0.86949 0.78405
 8.2125 1.08592 0.87647 0.79388
 8.2875 1.08269 0.88249 0.79612
 8.3625 1.07931 0.89109 0.79481
 8.4375 1.07521  0.9011 0.79666
 8.5125 1.07296 0.90953 0.79306
 8.5875  1.0695 0.91688 0.79273
 8.6625 1.06611 0.92331 0.78935
 8.7375 1.06478 0.92727 0.78531
 8.8125 1.06354 0.93025 0.77715
 8.8875 1.06607 0.93257 0.77128
 8.9625 1.07189 0.93233 0.76155
 9.0375 1.07888 0.93143 0.75696
 9.1125 1.08733 0.92796 0.75125
 9.1875 1.09449 0.92276  0.7501
 9.2625  1.102  0.91698 0.74536
 9.3375 1.10876 0.91521 0.74775
 9.4125 1.11437 0.91403  0.7475
 9.4875 1.11911 0.91612 0.74947
 9.5625 1.12403 0.92081 0.74887
 9.6375 1.12638 0.92821 0.74757
 9.7125 1.12527 0.93545 0.75023
 9.7875 1.12128 0.94292 0.75571
 9.8625 1.11266 0.95035 0.76371
 9.9375 1.10119 0.95514 0.77733
10.0125 1.08953 0.96027 0.79018
10.0875 1.07799 0.96335 0.80587
10.1625 1.06714 0.96799 0.81859
10.2375  1.0575 0.97186 0.83333
10.3125 1.04845 0.97841 0.84041
10.3875 1.03954 0.98426 0.84366
10.4625 1.03103 0.99127 0.84801
10.5375 1.02386 0.99872  0.8449
10.6125 1.01779 1.00617 0.84321
10.6875 1.01398 1.01378 0.84122
10.7625 1.01141 1.02094 0.84176
10.8375 1.01044 1.02763 0.84206
10.9125 1.00889 1.03437 0.84136
10.9875 1.00842 1.04004 0.84154
11.0625 1.00771 1.04569 0.83697
11.1375 1.00648 1.05084  0.8327
11.2125 1.00547 1.05431 0.83062
11.2875 1.00425 1.05725 0.82957
11.3625 1.00371 1.06035 0.83087
11.4375 1.00343 1.06322 0.83505
11.5125 1.00347 1.06547 0.83944
11.5875 1.00416 1.06703 0.84312
11.6625 1.00294 1.06874  0.8445
11.7375 1.00224 1.06959 0.84634
11.8125 1.00044 1.07003 0.84451
11.8875 0.99739 1.07003 0.84295
11.9625 0.99468 1.06937 0.84567
12.0375 0.99222 1.06946 0.84582
12.1125 0.98988 1.06948 0.84887
12.1875 0.98873 1.06988 0.85343
12.2625 0.98795 1.07014  0.8588
12.3375 0.98744 1.06868 0.86268
12.4125 0.98747  1.0671 0.86438
12.4875 0.98658 1.06578  0.8661
12.5625  0.9863 1.06445 0.86646
12.6375 0.98471 1.06479   0.87
12.7125 0.98285 1.06572 0.87136
12.7875 0.98079 1.06801  0.8745
12.8625 0.97949 1.07128 0.87923
12.9375 0.97679 1.07488 0.88266
13.0125  0.9733 1.07744 0.89143
13.0875 0.96808 1.08098 0.89655
13.1625 0.96272  1.0839 0.90371
13.2375 0.95804 1.08662 0.91439
13.3125 0.95495 1.09011 0.92276
13.3875  0.953  1.09389 0.93068
13.4625 0.95306 1.09765 0.93157
13.5375 0.95376 1.10245 0.93177
13.6125 0.95584  1.1071 0.92703
13.6875 0.95747 1.11288 0.91918
13.7625 0.95701 1.11604 0.90762
13.8375 0.95609 1.11984  0.8984
13.9125 0.95467 1.12148 0.88794
13.9875 0.95195 1.12211 0.88204
14.0625 0.95006 1.12184 0.87741
14.1375 0.94827 1.12087 0.87444
14.2125 0.94655 1.12042 0.87379
14.2875 0.94546 1.11933 0.87494
14.3625 0.94446  1.1183 0.87901
14.4375 0.94406 1.11687 0.88305
14.5125 0.94227 1.11496 0.89213
14.5875 0.94028 1.11336 0.89977
14.6625  0.9383 1.11099 0.90404
14.7375 0.93648  1.1084 0.90338
14.8125 0.93476 1.10638 0.90692
14.8875 0.93549 1.10356 0.90507
14.9625 0.93667 1.10089 0.90567
