   Gr    Ca-Os   Ca-Ow
   0       0       0
 0.0375    0       0
 0.1125    0       0
 0.1875    0       0
 0.2625    0       0
 0.3375    0       0
 0.4125    0       0
 0.4875    0       0
 0.5625    0       0
 0.6375    0       0
 0.7125    0       0
 0.7875    0       0
 0.8625    0       0
 0.9375    0       0
 1.0125    0       0
 1.0875    0       0
 1.1625    0       0
 1.2375    0       0
 1.3125    0       0
 1.3875    0       0
 1.4625    0       0
 1.5375    0       0
 1.6125    0       0
 1.6875    0       0
 1.7625    0       0
 1.8375    0       0
 1.9125    0       0
 1.9875 1.08E-05   0
 2.0625 0.01536 0.000232
 2.1375 0.81196  0.0374
 2.2125 4.67455 0.74715
 2.2875 7.28685 3.22698
 2.3625 5.52201 5.56317
 2.4375 3.00875 5.67989
 2.5125 1.50466 4.47962
 2.5875 0.79207 3.20009
 2.6625  0.4657 2.29213
 2.7375 0.31058 1.72231
 2.8125 0.23587 1.38916
 2.8875 0.19899 1.20205
 2.9625 0.18505 1.11105
 3.0375  0.1845 1.08411
 3.1125 0.19702 1.09296
 3.1875 0.21886  1.1224
 3.2625 0.25121 1.16647
 3.3375 0.29371 1.21464
 3.4125 0.34863 1.26952
 3.4875  0.4134 1.31818
 3.5625 0.48451 1.36085
 3.6375 0.56205 1.39682
 3.7125 0.64395  1.4254
 3.7875 0.72904 1.44017
 3.8625 0.81101 1.44024
 3.9375 0.88819 1.42312
 4.0125 0.96219 1.39771
 4.0875 1.03868 1.36126
 4.1625 1.10809 1.31983
 4.2375 1.16038 1.27622
 4.3125 1.19089 1.23555
 4.3875 1.20615 1.19743
 4.4625 1.22162  1.1651
 4.5375 1.24565 1.14363
 4.6125 1.27403  1.1305
 4.6875 1.28445 1.12751
 4.7625 1.22785 1.12319
 4.8375 1.10122 1.11396
 4.9125 0.97707 1.10465
 4.9875 0.90252 1.09941
 5.0625 0.87131 1.09753
 5.1375 0.86507 1.10266
 5.2125 0.87043  1.103
 5.2875 0.87935 1.10439
 5.3625 0.89252 1.10174
 5.4375 0.90387 1.09057
 5.5125 0.91709 1.07678
 5.5875 0.92963 1.05736
 5.6625 0.94386 1.03524
 5.7375 0.96216 1.00894
 5.8125 0.98328 0.97959
 5.8875 1.00688 0.95701
 5.9625 1.03075  0.9314
 6.0375 1.05494 0.90909
 6.1125 1.07919 0.88998
 6.1875 1.10638 0.87425
 6.2625 1.13446  0.8569
 6.3375 1.16231 0.84533
 6.4125 1.18942 0.83469
 6.4875 1.21268 0.82497
 6.5625 1.23463 0.81836
 6.6375 1.25506 0.81401
 6.7125 1.27479 0.81006
 6.7875 1.29245 0.80813
 6.8625 1.30914 0.80418
 6.9375 1.32362 0.80155
 7.0125 1.33311 0.79884
 7.0875 1.33152 0.79695
 7.1625  1.3198 0.79833
 7.2375 1.29867   0.8
 7.3125 1.27295 0.80352
 7.3875 1.24686 0.80735
 7.4625 1.22432  0.8126
 7.5375 1.20664 0.81694
 7.6125 1.18967 0.82309
 7.6875  1.1727 0.82939
 7.7625 1.15633 0.83557
 7.8375   1.14  0.84274
 7.9125 1.12596 0.84887
 7.9875 1.11253  0.8579
 8.0625 1.10212 0.86451
 8.1375 1.09328 0.87363
 8.2125  1.0852 0.88115
 8.2875 1.07903 0.89007
 8.3625 1.07588 0.90035
 8.4375 1.07361 0.90974
 8.5125 1.07235  0.9187
 8.5875 1.07227 0.92665
 8.6625 1.07093 0.93341
 8.7375 1.07106 0.93888
 8.8125 1.07057 0.94271
 8.8875 1.07112  0.9459
 8.9625 1.07239 0.94578
 9.0375 1.07441 0.94449
 9.1125 1.07808 0.94166
 9.1875 1.08318 0.93943
 9.2625 1.08877 0.93617
 9.3375 1.09472 0.93508
 9.4125 1.10053 0.93542
 9.4875 1.10365 0.93699
 9.5625 1.10598 0.94113
 9.6375 1.10844 0.94643
 9.7125 1.10872 0.95253
 9.7875 1.10676 0.95823
 9.8625 1.10036 0.96229
 9.9375 1.09102 0.96638
10.0125 1.07938 0.96962
10.0875 1.06763 0.97223
10.1625 1.05647 0.97514
10.2375 1.04658 0.97933
10.3125 1.03859 0.98305
10.3875 1.03093 0.98835
10.4625  1.024  0.99454
10.5375 1.01594 1.00212
10.6125 1.01045  1.0088
10.6875 1.00659 1.01766
10.7625 1.00615 1.02579
10.8375 1.00792 1.03441
10.9125 1.01119 1.04074
10.9875 1.01398 1.04678
11.0625 1.01468 1.05102
11.1375 1.01287 1.05416
11.2125 1.01037 1.05629
11.2875 1.00619 1.05874
11.3625 1.00234 1.06101
11.4375 0.99871 1.06233
11.5125 0.99679 1.06463
11.5875 0.99527  1.0662
11.6625 0.99379 1.06924
11.7375 0.99404 1.07007
11.8125 0.99228 1.07055
11.8875 0.99168 1.07126
11.9625 0.98958 1.07088
12.0375 0.98809 1.07051
12.1125 0.98691 1.06976
12.1875 0.98512 1.06975
12.2625 0.98513 1.06818
12.3375 0.98362 1.06721
12.4125  0.9831 1.06653
12.4875 0.98137 1.06448
12.5625 0.98018 1.06236
12.6375 0.97747 1.06206
12.7125 0.97527 1.06131
12.7875 0.97135 1.06295
12.8625 0.96829 1.06481
12.9375 0.96578 1.06943
13.0125 0.96418 1.07445
13.0875 0.96463 1.08066
13.1625 0.96391 1.08556
13.2375 0.96383 1.09176
