fs      200K    300K    400K    500K
0       0.04899 0.08808 0.14437 0.24069
50      0.04899 0.0881  0.14441 0.24061
100     0.04899 0.08813 0.14445 0.24053
150     0.04898 0.08815 0.14448 0.24046
200     0.04898 0.08817 0.14452 0.24038
250     0.04898 0.0882  0.14456 0.24031
300     0.04897 0.08822 0.14459 0.24023
350     0.04897 0.08825 0.14463 0.24016
400     0.04897 0.08827 0.14466 0.24009
450     0.04897 0.0883  0.1447  0.24001
500     0.04896 0.08832 0.14474 0.23994
550     0.04896 0.08834 0.14477 0.23986
600     0.04896 0.08837 0.14481 0.23979
650     0.04895 0.08839 0.14484 0.23971
700     0.04895 0.08842 0.14488 0.23964
750     0.04895 0.08844 0.14492 0.23957
800     0.04895 0.08846 0.14495 0.23949
850     0.04894 0.08849 0.14499 0.23942
900     0.04894 0.08851 0.14502 0.23935
950     0.04894 0.08854 0.14506 0.23928
1000    0.04894 0.08856 0.1451  0.2392
1050    0.04893 0.08859 0.14513 0.23913
1100    0.04893 0.08861 0.14517 0.23906
1150    0.04893 0.08863 0.1452  0.23899
1200    0.04892 0.08866 0.14524 0.23891
1250    0.04892 0.08868 0.14527 0.23884
1300    0.04892 0.08871 0.14531 0.23877
1350    0.04892 0.08873 0.14534 0.2387
1400    0.04891 0.08875 0.14538 0.23863
1450    0.04891 0.08878 0.14541 0.23856
1500    0.04891 0.0888  0.14545 0.23849
1550    0.04891 0.08883 0.14548 0.23841
1600    0.0489  0.08885 0.14552 0.23834
1650    0.0489  0.08888 0.14555 0.23827
1700    0.0489  0.0889  0.14559 0.2382
1750    0.0489  0.08892 0.14562 0.23813
1800    0.04889 0.08895 0.14566 0.23806
1850    0.04889 0.08897 0.14569 0.23799
1900    0.04889 0.089   0.14573 0.23792
1950    0.04889 0.08902 0.14576 0.23785
2000    0.04888 0.08904 0.1458  0.23778
2050    0.04888 0.08907 0.14583 0.23771
2100    0.04888 0.08909 0.14587 0.23764
2150    0.04888 0.08912 0.1459  0.23758
2200    0.04887 0.08914 0.14594 0.23751
2250    0.04887 0.08917 0.14597 0.23744
2300    0.04887 0.08919 0.14601 0.23737
2350    0.04887 0.08921 0.14604 0.2373
2400    0.04886 0.08924 0.14608 0.23723
2450    0.04886 0.08926 0.14611 0.23716
2500    0.04886 0.08929 0.14614 0.2371
2550    0.04886 0.08931 0.14618 0.23703
2600    0.04885 0.08933 0.14621 0.23696
2650    0.04885 0.08936 0.14625 0.23689
2700    0.04885 0.08938 0.14628 0.23683
2750    0.04885 0.08941 0.14632 0.23676
2800    0.04885 0.08943 0.14635 0.23669
2850    0.04884 0.08946 0.14638 0.23663
2900    0.04884 0.08948 0.14642 0.23656
2950    0.04884 0.0895  0.14645 0.23649
3000    0.04884 0.08953 0.14649 0.23643
3050    0.04884 0.08955 0.14652 0.23636
3100    0.04883 0.08958 0.14655 0.23629
3150    0.04883 0.0896  0.14659 0.23623
3200    0.04883 0.08962 0.14662 0.23616
3250    0.04883 0.08965 0.14665 0.2361
3300    0.04882 0.08967 0.14669 0.23603
3350    0.04882 0.0897  0.14672 0.23597
3400    0.04882 0.08972 0.14675 0.2359
3450    0.04882 0.08974 0.14679 0.23584
3500    0.04882 0.08977 0.14682 0.23577
3550    0.04881 0.08979 0.14686 0.23571
3600    0.04881 0.08982 0.14689 0.23564
3650    0.04881 0.08984 0.14692 0.23558
3700    0.04881 0.08987 0.14695 0.23551
3750    0.04881 0.08989 0.14699 0.23545
