fs        200K    300K    400K    500K
0       0.03837 0.05604 0.08533 0.13316
50      0.03838 0.05608 0.08534 0.13319
100     0.03838 0.05613 0.08535 0.13323
150     0.03839 0.05617 0.08536 0.13326
200     0.03839 0.05621 0.08537 0.13329
250     0.0384  0.05625 0.08538 0.13332
300     0.03841 0.0563  0.08539 0.13335
350     0.03841 0.05634 0.0854  0.13338
400     0.03842 0.05638 0.08541 0.13341
450     0.03842 0.05643 0.08542 0.13345
500     0.03843 0.05647 0.08543 0.13348
550     0.03843 0.05651 0.08544 0.13351
600     0.03844 0.05655 0.08545 0.13354
650     0.03844 0.0566  0.08546 0.13357
700     0.03845 0.05664 0.08547 0.1336
750     0.03845 0.05668 0.08548 0.13364
800     0.03846 0.05672 0.08549 0.13367
850     0.03846 0.05677 0.0855  0.1337
900     0.03847 0.05681 0.08551 0.13373
950     0.03847 0.05685 0.08553 0.13376
1000    0.03848 0.05689 0.08554 0.1338
1050    0.03848 0.05694 0.08555 0.13383
1100    0.03849 0.05698 0.08556 0.13386
1150    0.0385  0.05702 0.08557 0.13389
1200    0.0385  0.05706 0.08558 0.13393
1250    0.03851 0.0571  0.08559 0.13396
1300    0.03851 0.05715 0.0856  0.13399
1350    0.03852 0.05719 0.08561 0.13402
1400    0.03852 0.05723 0.08562 0.13406
1450    0.03853 0.05727 0.08563 0.13409
1500    0.03853 0.05731 0.08564 0.13412
1550    0.03854 0.05736 0.08565 0.13415
1600    0.03854 0.0574  0.08566 0.13419
1650    0.03855 0.05744 0.08567 0.13422
1700    0.03855 0.05748 0.08568 0.13425
1750    0.03856 0.05752 0.0857  0.13428
1800    0.03856 0.05757 0.08571 0.13432
1850    0.03857 0.05761 0.08572 0.13435
1900    0.03858 0.05765 0.08573 0.13438
1950    0.03858 0.05769 0.08574 0.13442
2000    0.03859 0.05773 0.08575 0.13445
2050    0.03859 0.05777 0.08576 0.13448
2100    0.0386  0.05781 0.08577 0.13451
2150    0.0386  0.05786 0.08578 0.13455
2200    0.03861 0.0579  0.08579 0.13458
2250    0.03861 0.05794 0.0858  0.13461
2300    0.03862 0.05798 0.08581 0.13465
2350    0.03862 0.05802 0.08583 0.13468
2400    0.03863 0.05806 0.08584 0.13471
2450    0.03863 0.0581  0.08585 0.13475
2500    0.03864 0.05814 0.08586 0.13478
2550    0.03864 0.05818 0.08587 0.13481
2600    0.03865 0.05823 0.08588 0.13485
2650    0.03866 0.05827 0.08589 0.13488
2700    0.03866 0.05831 0.0859  0.13491
2750    0.03867 0.05835 0.08591 0.13495
2800    0.03867 0.05839 0.08592 0.13498
2850    0.03868 0.05843 0.08593 0.13502
2900    0.03868 0.05847 0.08595 0.13505
2950    0.03869 0.05851 0.08596 0.13508
3000    0.03869 0.05855 0.08597 0.13512
3050    0.0387  0.05859 0.08598 0.13515
3100    0.0387  0.05863 0.08599 0.13518
3150    0.03871 0.05867 0.086   0.13522
3200    0.03871 0.05871 0.08601 0.13525
3250    0.03872 0.05875 0.08602 0.13529
3300    0.03873 0.05879 0.08603 0.13532
3350    0.03873 0.05883 0.08605 0.13535
3400    0.03874 0.05888 0.08606 0.13539
3450    0.03874 0.05892 0.08607 0.13542
3500    0.03875 0.05896 0.08608 0.13546
3550    0.03875 0.059   0.08609 0.13549
3600    0.03876 0.05904 0.0861  0.13553
3650    0.03876 0.05908 0.08611 0.13556
3700    0.03877 0.05912 0.08612 0.13559
3750    0.03877 0.05916 0.08614 0.13563
3800    0.03878 0.0592  0.08615 0.13566
3850    0.03878 0.05924 0.08616 0.1357
3900    0.03879 0.05928 0.08617 0.13573
3950    0.0388  0.05932 0.08618 0.13577
4000    0.0388  0.05936 0.08619 0.1358
4050    0.03881 0.05939 0.0862  0.13584
4100    0.03881 0.05943 0.08622 0.13587
4150    0.03882 0.05947 0.08623 0.13591
4200    0.03882 0.05951 0.08624 0.13594
4250    0.03883 0.05955 0.08625 0.13598
4300    0.03883 0.05959 0.08626 0.13601
4350    0.03884 0.05963 0.08627 0.13605
4400    0.03884 0.05967 0.08628 0.13608
4450    0.03885 0.05971 0.0863  0.13612
4500    0.03885 0.05975 0.08631 0.13615
4550    0.03886 0.05979 0.08632 0.13619
4600    0.03887 0.05983 0.08633 0.13622
4650    0.03887 0.05987 0.08634 0.13626
4700    0.03888 0.05991 0.08635 0.13629
4750    0.03888 0.05995 0.08636 0.13633
4800    0.03889 0.05999 0.08638 0.13636
4850    0.03889 0.06002 0.08639 0.1364
4900    0.0389  0.06006 0.0864  0.13643
4950    0.0389  0.0601  0.08641 0.13647
5000    0.03891 0.06014 0.08642 0.13651
5050    0.03891 0.06018 0.08643 0.13654
