       fs     200K     300K    400K     500K
        0 0.06205 0.10603  0.2151 0.55474
      50 0.06209 0.10612 0.21536 0.55562
     100 0.06212 0.10621 0.21562 0.55649
     150 0.06215  0.1063 0.21588 0.55736
     200 0.06219 0.10639 0.21614 0.55824
     250 0.06222 0.10648  0.2164 0.55911
     300 0.06225 0.10657 0.21666 0.55998
     350 0.06229 0.10666 0.21692 0.56085
     400 0.06232 0.10675 0.21718 0.56172
     450 0.06235 0.10684 0.21744 0.56259
     500 0.06238 0.10693  0.2177 0.56346
     550 0.06242 0.10702 0.21796 0.56433
     600 0.06245 0.10711 0.21822  0.5652
     650 0.06248  0.1072 0.21847 0.56606
     700 0.06252 0.10728 0.21873 0.56693
     750 0.06255 0.10737 0.21899 0.56779
     800 0.06258 0.10746 0.21925 0.56866
     850 0.06261 0.10755 0.21951 0.56952
     900 0.06265 0.10764 0.21977 0.57039
     950 0.06268 0.10773 0.22003 0.57125
    1000 0.06271 0.10782 0.22028 0.57212
    1050 0.06275 0.10791 0.22054 0.57298
    1100 0.06278 0.10799  0.2208 0.57384
    1150 0.06281 0.10808 0.22106  0.5747
    1200 0.06284 0.10817 0.22132 0.57556
    1250 0.06288 0.10826 0.22157 0.57642
    1300 0.06291 0.10835 0.22183 0.57728
    1350 0.06294 0.10843 0.22209 0.57814
    1400 0.06297 0.10852 0.22234   0.579
    1450 0.06301 0.10861  0.2226 0.57986
    1500 0.06304  0.1087 0.22286 0.58071
    1550 0.06307 0.10879 0.22311 0.58157
    1600 0.06311 0.10887 0.22337 0.58242
    1650 0.06314 0.10896 0.22363 0.58328
    1700 0.06317 0.10905 0.22388 0.58413
    1750  0.0632 0.10914 0.22414 0.58499
    1800 0.06324 0.10922  0.2244 0.58584
    1850 0.06327 0.10931 0.22465  0.5867
    1900  0.0633  0.1094 0.22491 0.58755
    1950 0.06333 0.10948 0.22516  0.5884
    2000 0.06337 0.10957 0.22542 0.58925
    2050  0.0634 0.10966 0.22567  0.5901
    2100 0.06343 0.10974 0.22593 0.59095
    2150 0.06346 0.10983 0.22618  0.5918
    2200  0.0635 0.10992 0.22644 0.59265
    2250 0.06353    0.11 0.22669  0.5935
    2300 0.06356 0.11009 0.22695 0.59434
    2350 0.06359 0.11018  0.2272 0.59519
    2400 0.06363 0.11026 0.22746 0.59604
    2450 0.06366 0.11035 0.22771 0.59688
    2500 0.06369 0.11044 0.22796 0.59773
    2550 0.06372 0.11052 0.22822 0.59857
    2600 0.06376 0.11061 0.22847 0.59942
    2650 0.06379 0.11069 0.22872 0.60026
    2700 0.06382 0.11078 0.22898  0.6011
    2750 0.06385 0.11086 0.22923 0.60195
    2800 0.06389 0.11095 0.22948 0.60279
    2850 0.06392 0.11104 0.22974 0.60363
    2900 0.06395 0.11112 0.22999 0.60447
    2950 0.06398 0.11121 0.23024 0.60531
    3000 0.06401 0.11129  0.2305 0.60615
    3050 0.06405 0.11138 0.23075 0.60699
    3100 0.06408 0.11146   0.231 0.60782
    3150 0.06411 0.11155 0.23125 0.60866
    3200 0.06414 0.11163  0.2315  0.6095
    3250 0.06418 0.11172 0.23176 0.61033
    3300 0.06421  0.1118 0.23201 0.61117
    3350 0.06424 0.11189 0.23226 0.61201
    3400 0.06427 0.11197 0.23251 0.61284
    3450  0.0643 0.11205 0.23276 0.61367
    3500 0.06434 0.11214 0.23301 0.61451
    3550 0.06437 0.11222 0.23327 0.61534
    3600  0.0644 0.11231 0.23352 0.61617
    3650 0.06443 0.11239 0.23377   0.617
    3700 0.06447 0.11248 0.23402 0.61783
    3750  0.0645 0.11256 0.23427 0.61866
    3800 0.06453 0.11264 0.23452 0.61949
    3850 0.06456 0.11273 0.23477 0.62032
    3900 0.06459 0.11281 0.23502 0.62115
    3950 0.06463 0.11289 0.23527 0.62198
    4000 0.06466 0.11298 0.23552 0.62281
    4050 0.06469 0.11306 0.23577 0.62363
    4100 0.06472 0.11314 0.23602 0.62446
    4150 0.06475 0.11323 0.23627 0.62529
    4200 0.06479 0.11331 0.23652 0.62611
    4250 0.06482 0.11339 0.23677 0.62693
    4300 0.06485 0.11348 0.23702 0.62776
    4350 0.06488 0.11356 0.23726 0.62858
    4400 0.06491 0.11364 0.23751  0.6294
    4450 0.06495 0.11373 0.23776 0.63023
    4500 0.06498 0.11381 0.23801 0.63105
    4550 0.06501 0.11389 0.23826 0.63187
    4600 0.06504 0.11397 0.23851 0.63269
    4650 0.06507 0.11406 0.23875 0.63351
    4700 0.06511 0.11414   0.239 0.63433
    4750 0.06514 0.11422 0.23925 0.63515
    4800 0.06517  0.1143  0.2395 0.63596
    4850  0.0652 0.11439 0.23975 0.63678
    4900 0.06523 0.11447 0.23999  0.6376
    4950 0.06526 0.11455 0.24024 0.63841
    5000  0.0653 0.11463 0.24049 0.63923
    5050 0.06533 0.11471 0.24073 0.64004
    5100 0.06536 0.11479 0.24098 0.64086
    5150 0.06539 0.11488 0.24123 0.64167
    5200 0.06542 0.11496 0.24147 0.64248
    5250 0.06546 0.11504 0.24172  0.6433
    5300 0.06549 0.11512 0.24197 0.64411
    5350 0.06552  0.1152 0.24221 0.64492
    5400 0.06555 0.11528 0.24246 0.64573
    5450 0.06558 0.11536 0.24271 0.64654
    5500 0.06561 0.11545 0.24295 0.64735
    5550 0.06565 0.11553  0.2432 0.64816
    5600 0.06568 0.11561 0.24344 0.64897
    5650 0.06571 0.11569 0.24369 0.64978
    5700 0.06574 0.11577 0.24393 0.65058
    5750 0.06577 0.11585 0.24418 0.65139
    5800  0.0658 0.11593 0.24442  0.6522
    5850 0.06584 0.11601 0.24467   0.653
    5900 0.06587 0.11609 0.24491 0.65381
    5950  0.0659 0.11617 0.24516 0.65461
    6000 0.06593 0.11625  0.2454 0.65541
    6050 0.06596 0.11633 0.24564 0.65622
    6100 0.06599 0.11641 0.24589 0.65702
    6150 0.06602 0.11649 0.24613 0.65782
    6200 0.06606 0.11657 0.24638 0.65862
    6250 0.06609 0.11665 0.24662 0.65942
    6300 0.06612 0.11673 0.24686 0.66022
    6350 0.06615 0.11681 0.24711 0.66102
    6400 0.06618 0.11689 0.24735 0.66182
    6450 0.06621 0.11697 0.24759 0.66262
    6500 0.06624 0.11705 0.24784 0.66342
    6550 0.06628 0.11713 0.24808 0.66421
    6600 0.06631 0.11721 0.24832 0.66501
    6650 0.06634 0.11729 0.24856 0.66581
    6700 0.06637 0.11737 0.24881  0.6666
    6750  0.0664 0.11744 0.24905  0.6674
    6800 0.06643 0.11752 0.24929 0.66819
    6850 0.06646  0.1176 0.24953 0.66898
    6900  0.0665 0.11768 0.24978 0.66978
    6950 0.06653 0.11776 0.25002 0.67057
    7000 0.06656 0.11784 0.25026 0.67136
    7050 0.06659 0.11792  0.2505 0.67215
    7100 0.06662   0.118 0.25074 0.67294
    7150 0.06665 0.11807 0.25098 0.67373
    7200 0.06668 0.11815 0.25122 0.67452
    7250 0.06671 0.11823 0.25147 0.67531
    7300 0.06675 0.11831 0.25171  0.6761
    7350 0.06678 0.11839 0.25195 0.67689
    7400 0.06681 0.11846 0.25219 0.67767
    7450 0.06684 0.11854 0.25243 0.67846
    7500 0.06687 0.11862 0.25267 0.67925
    7550  0.0669  0.1187 0.25291 0.68003
    7600 0.06693 0.11877 0.25315 0.68081
    7650 0.06696 0.11885 0.25339  0.6816
    7700   0.067 0.11893 0.25363 0.68238
    7750 0.06703 0.11901 0.25387 0.68317
    7800 0.06706 0.11908 0.25411 0.68395
    7850 0.06709 0.11916 0.25435 0.68473
    7900 0.06712 0.11924 0.25458 0.68551
    7950 0.06715 0.11931 0.25482 0.68629
    8000 0.06718 0.11939 0.25506 0.68707
    8050 0.06721 0.11947  0.2553 0.68785
    8100 0.06724 0.11955 0.25554 0.68863
    8150 0.06727 0.11962 0.25578 0.68941
    8200 0.06731  0.1197 0.25602 0.69018
    8250 0.06734 0.11977 0.25625 0.69096
    8300 0.06737 0.11985 0.25649 0.69174
    8350  0.0674 0.11993 0.25673 0.69251
    8400 0.06743    0.12 0.25697 0.69329
    8450 0.06746 0.12008 0.25721 0.69406
    8500 0.06749 0.12016 0.25744 0.69484
    8550 0.06752 0.12023 0.25768 0.69561
    8600 0.06755 0.12031 0.25792 0.69638
    8650 0.06758 0.12038 0.25816 0.69715
    8700 0.06762 0.12046 0.25839 0.69793
