                   200K         300K      400K          500K                
0                0.0334	0.01388	0.03513	-0.07253
-0.004	-0.28884	-0.32427	-0.28787	-0.41146
-0.008	-0.52804	-0.57656	-0.4564	-0.52942
-0.012	-0.74864	-0.80374	-0.74286	-0.71761
-0.016	-0.97944	-1.04243	-0.94876	-0.94385
-0.02	        -1.19252	-1.19349	-1.05863	-1.08621
-0.024	-1.34673	-1.4316	-1.32651	-1.19533
-0.028	-1.50493	-1.5478	-1.50979	-1.3394
-0.032	-1.79579	-1.71774	-1.66578	-1.49405
-0.036	-1.97281	-2.00386	-1.86839	-1.60178
-0.04  	-2.1641	-2.13168	-2.01655	-1.71353
-0.044	-2.31698	-2.2961	-2.12715	-1.82076
-0.048	-2.49569	-2.41369	-2.32869	-1.95655
-0.052	-2.67327	-2.57569	-2.47963	-2.03431
-0.056	-2.84946	-2.69684	-2.585	-2.11941
-0.06 	-2.98533	-2.70533	-2.78658	-2.22351
-0.064	-3.11326	-2.9108	-2.78967	-2.40235
-0.068	-3.20655	-3.06906	-2.99649	-2.60051
-0.072	-3.32172	-3.2011	-2.89183	-2.63828
-0.076	-3.44681	-3.38047	-3.10914	-2.84603
-0.08 	-3.5187	-3.4737	-3.20536	-2.79233
-0.084	-3.64094	-3.59741	-3.3277	-2.96796
-0.088	-3.71325	-3.60432	-3.44241	-2.89829
-0.092	-3.83362	-3.66976	-3.51938	-2.88112
-0.096	-3.93081	-3.77931	-3.5551	-3.0189
-0.1   	-3.96593	-3.75551	-3.51104	-3.04309
-0.104	-4.05059	-3.99541	-3.5418	-3.1042
-0.108	-4.07655	-3.95672	-3.68781	-3.15038
-0.112	-4.17711	-3.9908	-3.61358	-3.16557
-0.116	-4.14817	-4.07713	-3.6337	-3.21488
-0.12 	-4.15602	-4.14431	-3.69919	-3.3327
-0.124	-4.16176	-4.15345	-3.69587	-3.36699
-0.128	-4.22916	-4.10561	-3.76756	-3.4778
-0.132	-4.16351	-4.19459	-3.78575	-3.3579
