	         200K	  300K	 400K	500K
0       	-0.08082	0.0188	-0.00998	0.00384
0.004	0.28105	0.35279	0.31961	0.32878
0.008	0.52449	0.5696	0.4894	0.57717
0.012	0.7469	0.79493	0.71304	0.74552
0.016	0.94165	0.99563	0.86134	0.91253
0.02  	1.17524	1.18284	1.04163	1.0932
0.024	1.33697	1.30973	1.17436	1.23881
0.028	1.49223	1.5118	1.36844	1.23348
0.032	1.71165	1.66324	1.46863	1.36577
0.036	1.84231	1.85284	1.62061	1.53458
0.04  	2.0002	1.90909	1.70844	1.57377
0.044	2.06268	2.0323	1.77606	1.60877
0.048	2.2008	2.11789	1.90045	1.66424
0.052	2.28428	2.27936	2.00011	1.7405
0.056	2.43306	2.29891	1.98987	1.81552
0.06  	2.45305	2.34334	2.11982	1.83756
0.064	2.53849	2.39077	2.1641	1.81943
0.068	2.55235	2.44701	2.29128	1.90825
0.072	2.5493	2.51242	2.33132	1.80942
0.076	2.55432	2.4694	2.25205	1.77939
0.08  	2.62686	2.44926	2.29969	1.83145
0.084	2.63556	2.48474	2.29161	1.90669
0.088	2.65773	2.45709	2.30355	1.90301
0.092	2.64975	2.39613	2.37182	1.86308
0.096	2.62413	2.41451	2.33763	1.83701
0.1    	2.66281	2.4298	2.30433	1.77931
0.104	2.64538	2.41648	2.24148	1.80212
0.108	2.52091	2.37015	2.2607	1.73683
0.112	2.52589	2.34316	2.23382	1.77728
0.116	2.56196	2.26933	2.15266	1.68975
0.12  	2.45394	2.25365	2.12011	1.65547
0.124	2.3964	2.21961	2.09281	1.70355
0.128	2.39484	2.15526	2.03509	1.73056
0.132	2.36223	2.16674	2.00394	1.73638
0.136	2.36705	2.20592	1.97332	1.63554
0.14  	2.35378	2.11335	2.01705	1.61417
0.144	2.29031	2.11071	1.94829	1.57536
0.148	2.2106	2.04472	1.90557	1.5885
0.152	2.1614	2.06753	1.90384	1.56556
0.156	2.13883	2.02333	1.93596	1.579
0.16  	2.07856	1.96997	1.81451	1.57459
0.164	2.06948	1.91451	1.7521	1.54774
0.168	2.01829	1.87341	1.81873	1.42305
0.172	2.00683	1.82624	1.76456	1.48141
0.176	1.93728	1.71155	1.77611	1.44856
0.18  	1.83226	1.72801	1.62349	1.34843
0.184	1.8631	1.67473	1.54214	1.42339
0.188	1.81639	1.67285	1.5396	1.38536
0.192	1.84791	1.63819	1.50226	1.40672
0.196	1.75378	1.569	1.50257	1.3471
0.2    	1.71776	1.58735	1.43769	1.25689
0.204	1.6707	1.5363	1.50318	1.31227
0.208	1.62302	1.55977	1.41808	1.2841
0.212	1.63078	1.46879	1.36651	1.18879
0.216	1.59206	1.46667	1.24402	1.18198
0.22  	1.57	        1.48228	1.30775	1.21263
0.224	1.50273	1.40144	1.27424	1.20336
0.228	1.42434	1.34873	1.219	1.14297
0.232	1.41225	1.37074	1.25175	1.16664
0.236	1.41402	1.38733	1.18769	1.13298
0.24  	1.42099	1.33743	1.14873	1.02067
0.244	1.34452	1.33357	1.10214	0.95701
0.248	1.33445	1.2924	1.05417	1.00222
0.252	1.30734	1.27806	1.06892	0.97726
0.256	1.24247	1.25475	0.99859	0.94967
0.26  	1.26496	1.12815	0.97784	0.96673
0.264	1.22312	1.16432	0.94639	0.98029
0.268	1.21058	1.09469	0.91506	0.95669
0.272	1.15549	1.0757	0.89845	0.94351
0.276	1.12682	1.04041	0.88379	0.88143
0.28  	1.08507	1.01217	0.80366	0.80244
0.284	1.09943	0.97898	0.73276	0.79109
0.288	1.02814	0.97533	0.69803	0.82948
0.292	1.02034	0.96081	0.77792	0.75688
0.296	1.03239	0.93387	0.67839	0.75244
0.3    	0.99019	0.88428	0.70138	0.79426
0.304	0.94954	0.8462	0.65306	0.77305
0.308	0.94211	0.84544	0.66929	0.72723
0.312	0.94201	0.77871	0.5521	0.63747
0.316	0.91851	0.84271	0.60049	0.69419
0.32  	0.89049	0.84063	0.53856	0.6469
0.324	0.88319	0.82013	0.57974	0.59818
0.328	0.77945	0.78183	0.53075	0.62204
0.332	0.77214	0.69703	0.50802	0.61961
0.336	0.7403	0.65509	0.41183	0.57467
0.34  	0.72571	0.71571	0.43772	0.53575
0.344	0.75802	0.7247	0.4159	0.59171
0.348	0.67689	0.66301	0.35404	0.58757
0.352	0.61726	0.60931	0.33706	0.52986
0.356	0.55327	0.57684	0.23295	0.47714
0.36  	0.6041	0.57521	0.23802	0.44419
0.364	0.56555	0.54185	0.23059	0.4044
0.368	0.54761	0.48203	0.23146	0.38422
0.372	0.57825	0.46576	0.19458	0.48078
0.376	0.54073	0.40662	0.23797	0.39787
0.38  	0.50062	0.37275	0.21048	0.39631
0.384	0.51429	0.32222	0.17136	0.41672
0.388	0.47896	0.32006	0.17708	0.33768
0.392	0.47288	0.35679	0.11801	0.27735
0.396	0.47635	0.27542	0.10066	0.29917
0.4    	0.44548	0.3227	0.1001	0.28592
0.404	0.44159	0.28331	0.07641	0.29524
0.408	0.48167	0.29359	0.09472	0.30126
0.412	0.46359	0.22527	0.12892	0.22609
0.416	0.43632	0.18964	0.12311	0.28734
0.42  	0.39354	0.17026	0.08073	0.24814
0.424	0.3544	0.25177	0.07132	0.28703
0.428	0.3632	0.21974	0.11084	0.28949
0.432	0.35453	0.16579	0.05078	0.28793
0.436	0.38635	0.168	0.12957	0.35561
0.44  	0.32858	0.14043	0.06821	0.30571
0.444	0.3771	0.17116	0.08872	0.18884
0.448	0.34032	0.20606	0.11899	0.35062
0.452	0.34842	0.21199	0.06825	0.35452
0.456	0.3273	0.21477	0.05624	0.33994
0.46  	0.30328	0.19611	0.05325	0.24095
0.464	0.27609	0.2353	0.03359	0.26747
0.468	0.26253	0.19328	0.03037	0.25015
0.472	0.29696	0.16699	0.07095	0.25148
0.476	0.28576	0.13561	0.01444	0.29614
0.48  	0.27464	0.13469	0.06056	0.29266
0.484	0.24771	0.12683	0.0582	0.18506
0.488	0.25044	0.11742	0.0513	0.2362
0.492	0.26434	0.0691	0.04537	0.20049
0.496	0.22317	0.09039	0.02778	0.12841
0.5    	0.21241	0.13774	0.07154	0.12422
0.504	0.20358	0.15605	0.07553	0.15794
0.508	0.17947	0.11078	0.06569	0.08603
0.512	0.16872	0.14974	0.11482	0.03684
0.516	0.17279	0.10836	0.07848	0.07012
0.52  	0.22306	0.08992	0.07807	0.07841
0.524	0.21879	0.05116	0.11282	0.12692
0.528	0.17529	0.10789	0.14615	0.11256
0.532	0.19041	0.11951	0.14531	0.09759
0.536	0.20057	0.06593	0.17777	0.02347
0.54  	0.15048	0.04342	0.18525	0.05004
0.544	0.1417	0.0393	0.19934	0.12271
0.548	0.14086	0.07053	0.24305	0.10628
0.552	0.17546	0.10263	0.1851	0.07599
0.556	0.11845	0.07254	0.19353	0.0767
0.56  	0.15234	0.05296	0.19177	0.05634
0.564	0.13476	0.02777	0.18766	-0.02063
0.568	0.10305	0.03717	0.19543	0.01911
0.572	0.13323	0.0764	0.16376	0.1537
0.576	0.16405	0.07779	0.19622	0.08435
0.58  	0.14087	0.05483	0.22097	0.10153
0.584	0.10266	0.02759	0.189	0.1323
0.588	0.06615	0.04941	0.13326	0.12512
0.592	0.072	0.03357	0.17492	0.17569
0.596	0.08372	0.04075	0.13079	0.13018
0.6    	0.11108	0.05068	0.11496	0.11412
0.604	0.12666	0.00525	0.08431	0.172
0.608	0.14613	-0.0084	0.18011	0.12361
0.612	0.15891	9.84E-05	0.18645	0.13545
0.616	0.15965	-0.01022	0.19515	0.0542
0.62  	0.17386	0.03801	0.16357	0.14052
0.624	0.17902	0.01467	0.11307	0.13332
0.628	0.15921	0.01679	0.18589	0.17587
0.632	0.16841	0.04629	0.18676	0.10817
0.636	0.17961	0.07549	0.1755	0.12172
0.64  	0.19588	0.03925	0.19829	0.07038
0.644	0.20958	0.02132	0.22697	0.01783
0.648	0.20593	0.01304	0.2297	0.03546
0.652	0.22427	0.04531	0.20038	0.09008
0.656	0.22743	0.02712	0.22744	0.07461
0.66  	0.23798	0.06402	0.24803	0.0698
0.664	0.20476	0.05659	0.24923	0.09118
0.668	0.19115	0.05629	0.24207	0.07747
0.672	0.1799	0.01853	0.28358	0.08462
0.676	0.17089	0.03408	0.27189	0.04492
0.68  	0.16593	0.05324	0.28974	0.0977
0.684	0.19089	0.03346	0.27771	0.09717
0.688	0.18155	0.01917	0.25124	0.06109
0.692	0.17778	0.01789	0.24092	0.09362
