	         200K	 300K	 400K	500K
0       	-0.08082	0.0188	-0.00998	0.00384
-0.004	-0.45245	-0.3705	-0.38353	-0.32999
-0.008	-0.66951	-0.59115	-0.62766	-0.47103
-0.012	-0.87267	-0.77322	-0.76148	-0.67571
-0.016	-1.10985	-0.97103	-0.99444	-0.81611
-0.02 	-1.30103	-1.1998	-1.22149	-0.95852
-0.024	-1.58007	-1.37375	-1.32805	-1.13536
-0.028	-1.78335	-1.59367	-1.56003	-1.44354
-0.032	-1.9568	-1.8651	-1.78124	-1.64514
-0.036	-2.21135	-2.06731	-1.90361	-1.7661
-0.04	       -2.47612	-2.20932	-2.16424	-1.96402
-0.044	-2.6591	-2.46705	-2.24538	-2.10655
-0.048	-2.89656	-2.6047	-2.30584	-2.23583
-0.052	-3.11325	-2.80034	-2.57505	-2.37503
-0.056	-3.22188	-3.02704	-2.69875	-2.62005
-0.06	        -3.39367	-3.16441	-2.8457	-2.61291
-0.064	-3.55037	-3.41133	-2.96698	-2.7703
-0.068	-3.59159	-3.48282	-3.14433	-2.92146
-0.072	-3.78355	-3.65716	-3.2165	-2.97489
-0.076	-3.91193	-3.70241	-3.34655	-3.12403
-0.08	        -4.05549	-3.81544	-3.54286	-3.1751
-0.084	-4.11517	-3.95087	-3.54952	-3.19882
-0.088	-4.23297	-4.05201	-3.58709	-3.31573
-0.092	-4.27622	-4.12524	-3.70824	-3.3377
-0.096	-4.28542	-4.22033	-3.86508	-3.31885
-0.1	        -4.3778	-4.21854	-3.89249	-3.36352
-0.104	-4.42932	-4.25787	-3.8637	-3.45344
-0.108	-4.40498	-4.33134	-3.98774	-3.44265
-0.112	-4.43605	-4.42194	-4.0322	-3.52146
-0.116	-4.47106	-4.40686	-4.16992	-3.49718
-0.12	        -4.51142	-4.39416	-4.13126	-3.50771
-0.124	-4.51672	-4.38469	-4.20731	-3.61033
-0.128	-4.53041	-4.40708	-4.25023	-3.6094
-0.132	-4.55384	-4.41869	-4.23178	-3.5539
-0.136	-4.56878	-4.55842	-4.26963	-3.71835
-0.14  	-4.60348	-4.57512	-4.3272	-3.75474
-0.144	-4.50815	-4.56265	-4.29852	-3.72842
-0.148	-4.47739	-4.4818	-4.28724	-3.7123
-0.152	-4.3821	-4.4686	-4.19562	-3.71731
-0.156	-4.3595	-4.40378	-4.06178	-3.7105
-0.16  	-4.30897	-4.31417	-4.02023	-3.7504
-0.164	-4.27083	-4.19595	-3.93097	-3.55109
-0.168	-4.23064	-4.09117	-3.94516	-3.63092
-0.172	-4.18212	-4.05293	-3.82837	-3.67157
-0.176	-4.11016	-3.99614	-3.75866	-3.56807
-0.18 	-4.11518	-3.98893	-3.83652	-3.5124
-0.184	-4.0828	-3.86121	-3.67986	-3.63574
-0.188	-4.00076	-3.79791	-3.71488	-3.47606
-0.192	-3.97997	-3.83212	-3.68468	-3.47166
-0.196	-3.94149	-3.92323	-3.70924	-3.47914
-0.2	        -3.90627	-3.81042	-3.75902	-3.48598
-0.204	-3.85914	-3.79045	-3.69778	-3.43985
-0.208	-3.83202	-3.81316	-3.54415	-3.35137
-0.212	-3.79968	-3.83722	-3.62186	-3.29877
-0.216	-3.76495	-3.79098	-3.55591	-3.38909
-0.22	        -3.76785	-3.85352	-3.60231	-3.3201
-0.224	-3.74239	-3.71527	-3.50079	-3.21274
-0.228	-3.7931	-3.74045	-3.47087	-3.24474
-0.232	-3.74849	-3.85018	-3.42661	-3.26352
-0.236	-3.77359	-3.84916	-3.33289	-3.18373
-0.24	        -3.70118	-3.85584	-3.39577	-3.24275
-0.244	-3.68151	-3.7854	-3.30356	-3.26951
-0.248	-3.63953	-3.75264	-3.30023	-3.21197
-0.252	-3.61464	-3.61537	-3.22815	-3.23301
-0.256	-3.54895	-3.60263	-3.23025	-3.23458
-0.26 	-3.53292	-3.62173	-3.16163	-3.1753
-0.264	-3.52992	-3.55928	-3.15418	-3.23118
-0.268	-3.53354	-3.54644	-3.22216	-3.27704
-0.272	-3.56311	-3.5224	-3.26697	-3.15141
-0.276	-3.60878	-3.53554	-3.23244	-3.0511
-0.28 	-3.58177	-3.42036	-3.15525	-3.05995
-0.284	-3.59637	-3.35469	-3.13963	-3.11378
-0.288	-3.59443	-3.38178	-3.14668	-3.0926
-0.292	-3.54532	-3.38148	-3.08716	-3.02036
-0.296	-3.5193	-3.42165	-3.10112	-3.04512
-0.3   	-3.48193	-3.41175	-3.09086	-3.16868
-0.304	-3.46901	-3.28155	-3.13367	-3.01903
-0.308	-3.44768	-3.25341	-3.04785	-2.99691
-0.312	-3.51747	-3.26091	-3.08572	-2.99048
-0.316	-3.44654	-3.30437	-3.09734	-2.95196
-0.32 	-3.43107	-3.38126	-3.08225	-2.97802
-0.324	-3.50121	-3.35556	-3.04234	-2.92387
-0.328	-3.51729	-3.26573	-3.05779	-2.96776
-0.332	-3.52337	-3.25523	-3.0242	-3.0044
-0.336	-3.51701	-3.20826	-2.97251	-2.96835
-0.34 	-3.55461	-3.21664	-3.00605	-2.82145
-0.344	-3.50483	-3.18823	-2.9612	-2.84454
-0.348	-3.47249	-3.25413	-2.95415	-2.84988
-0.352	-3.42855	-3.26968	-3.053	-2.85192
-0.356	-3.48952	-3.21945	-2.91096	-2.82181
-0.36	        -3.50789	-3.17241	-2.90448	-2.71477
-0.364	-3.51072	-3.24873	-2.91441	-2.71223
-0.368	-3.49579	-3.12056	-2.87829	-2.79144
-0.372	-3.45998	-3.14728	-2.85451	-2.7684
-0.376	-3.49915	-3.15418	-2.90605	-2.78985
-0.38 	-3.47938	-3.09258	-2.82501	-2.74768
-0.384	-3.50155	-3.09192	-2.76993	-2.75738
-0.388	-3.4632	-3.04944	-2.73623	-2.81895
-0.392	-3.45913	-3.1444	-2.76654	-2.78783
-0.396	-3.39112	-3.17461	-2.72951	-2.74399
-0.4    	-3.44136	-3.11834	-2.85373	-2.71682
-0.404	-3.47135	-3.08463	-2.7858	-2.70657
-0.408	-3.52893	-3.01484	-2.83879	-2.70594
-0.412	-3.57036	-3.02925	-2.79002	-2.68731
-0.416	-3.5771	-2.91442	-2.82502	-2.77696
-0.42 	-3.61421	-2.95631	-2.81134	-2.76392
-0.424	-3.56703	-3.00992	-2.93593	-2.73014
-0.428	-3.58266	-3.0801	-2.81766	-2.80335
-0.432	-3.52417	-3.08842	-2.71307	-2.662
-0.436	-3.57141	-3.07599	-2.74601	-2.78472
-0.44 	-3.5812	-3.0518	-2.69702	-2.85526
-0.444	-3.55303	-3.1228	-2.75706	-2.78553
-0.448	-3.47726	-3.10178	-2.72691	-2.67408
-0.452	-3.46838	-3.1828	-2.7733	-2.63516
-0.456	-3.4212	-3.18384	-2.8272	-2.67154
-0.46 	-3.38021	-3.13212	-2.75537	-2.64219
-0.464	-3.34737	-3.0566	-2.82533	-2.68896
-0.468	-3.35339	-3.0172	-2.86917	-2.66767
-0.472	-3.24151	-3.0835	-2.78477	-2.6174
-0.476	-3.17251	-3.10049	-2.83876	-2.63216
-0.48 	-3.24058	-3.07084	-2.82346	-2.74289
-0.484	-3.17435	-3.03557	-2.87004	-2.78292
-0.488	-3.19039	-3.05288	-2.90877	-2.82802
-0.492	-3.21492	-3.02229	-2.86267	-2.74589
-0.496	-3.17931	-3.02242	-2.82808	-2.72545
-0.5   	-3.15687	-2.97522	-2.84592	-2.67123
-0.504	-3.21671	-3.0181	-2.81225	-2.69615
-0.508	-3.26199	-2.97529	-2.72915	-2.67572
-0.512	-3.28909	-2.99096	-2.78077	-2.63976
-0.516	-3.30076	-3.0408	-2.85499	-2.63564
-0.52 	-3.34925	-3.12115	-2.78576	-2.70813
-0.524	-3.34216	-3.00315	-2.86515	-2.78059
