        GO-COOH GO-COOH-SV GO-COOH-DV GO-COOH-SW
   0       0       0       0       0
 0.0375    0       0       0       0
 0.1125    0       0       0       0
 0.1875    0       0       0       0
 0.2625    0       0       0       0
 0.3375    0       0       0       0
 0.4125    0       0       0       0
 0.4875    0       0       0       0
 0.5625    0       0       0       0
 0.6375    0       0       0       0
 0.7125    0       0       0       0
 0.7875    0       0       0       0
 0.8625    0       0       0       0
 0.9375    0       0       0       0
 1.0125    0       0       0       0
 1.0875    0       0       0       0
 1.1625    0       0       0       0
 1.2375    0       0       0       0
 1.3125    0       0       0       0
 1.3875    0       0       0       0
 1.4625    0       0       0       0
 1.5375    0       0       0       0
 1.6125    0       0       0       0
 1.6875    0       0       0       0
 1.7625    0       0       0       0
 1.8375    0       0       0       0
 1.9125    0       0       0       0
 1.9875    0       0       0       0
 2.0625 0.0001540.0001760.0001490.000217
 2.1375 0.03852 0.04095 0.04007 0.04042
 2.2125 0.76582 0.80251 0.78591 0.78731
 2.2875 3.40235 3.53293 3.43072 3.39572
 2.3625 6.02153 6.18098 5.97039 5.87264
 2.4375 6.27329 6.34979 6.14081  6.0168
 2.5125 4.97868 4.96476 4.86862 4.73262
 2.5875 3.55228 3.50446 3.48781 3.37873
 2.6625 2.50896 2.46399  2.4902 2.40713
 2.7375 1.86602 1.81954 1.86004 1.80189
 2.8125 1.48528 1.44949 1.49215 1.45623
 2.8875 1.28135 1.25007 1.29259 1.26797
 2.9625 1.17789  1.1555 1.19513 1.17489
 3.0375  1.1475 1.12884 1.15538 1.14909
 3.1125 1.15929 1.14071 1.15968 1.15313
 3.1875 1.18897 1.17421 1.18521 1.18803
 3.2625 1.23072 1.21396 1.23241 1.22714
 3.3375 1.28188 1.25531 1.28993 1.27837
 3.4125 1.33763 1.30341 1.35003 1.32475
 3.4875 1.39089 1.34459 1.40219 1.37036
 3.5625  1.4375 1.39286 1.45014  1.4071
 3.6375 1.47196 1.44203 1.48178 1.43795
 3.7125 1.49389 1.48173 1.50233 1.45572
 3.7875 1.49826  1.5134 1.50043 1.46651
 3.8625 1.48577 1.51969 1.48646 1.46582
 3.9375 1.45836  1.5078 1.46399 1.45352
 4.0125 1.41811 1.47335 1.42267 1.42672
 4.0875 1.37666 1.42829 1.37374 1.39061
