          GO-O  GO-O-SV GO-O-DV GO-O-SW
   0       0       0       0       0
 0.0375    0       0       0       0
 0.1125    0       0       0       0
 0.1875    0       0       0       0
 0.2625    0       0       0       0
 0.3375    0       0       0       0
 0.4125    0       0       0       0
 0.4875    0       0       0       0
 0.5625    0       0       0       0
 0.6375    0       0       0       0
 0.7125    0       0       0       0
 0.7875    0       0       0       0
 0.8625    0       0       0       0
 0.9375    0       0       0       0
 1.0125    0       0       0       0
 1.0875    0       0       0       0
 1.1625    0       0       0       0
 1.2375    0       0       0       0
 1.3125    0       0       0       0
 1.3875    0       0       0       0
 1.4625    0       0       0       0
 1.5375    0       0       0       0
 1.6125    0       0       0       0
 1.6875    0       0       0       0
 1.7625    0       0       0       0
 1.8375    0       0       0       0
 1.9125    0       0       0       0
 1.9875    0       0       0       0
 2.0625 3.73E-050.000114   0    7.5E-05
 2.1375 0.00274 0.00451 0.00299 0.00307
 2.2125 0.04842 0.07081 0.04986 0.05095
 2.2875 0.25264 0.30474 0.21231  0.2594
 2.3625 0.58512 0.62619 0.44312 0.58329
 2.4375 0.86169 0.79724 0.59219 0.81406
 2.5125 0.92684  0.7831 0.61057 0.86219
 2.5875 0.81692 0.68141 0.57983 0.75996
 2.6625 0.65093 0.54943 0.51439 0.63422
 2.7375 0.50104 0.45209 0.44973 0.51267
 2.8125 0.39735 0.38667 0.39714 0.42613
 2.8875  0.3344 0.35738 0.36139  0.3675
 2.9625 0.30328 0.33183 0.33698 0.33613
 3.0375 0.27941 0.32151 0.33454 0.31278
 3.1125 0.27115 0.31769 0.33445 0.30209
 3.1875 0.25521 0.31603 0.33728  0.2847
 3.2625  0.2498 0.31561 0.34272 0.27715
 3.3375 0.26091 0.32311 0.32714 0.27151
 3.4125  0.275  0.32194 0.31381 0.26183
 3.4875 0.28352 0.32065 0.29512 0.24968
 3.5625 0.29813  0.3132 0.27736 0.25262
 3.6375 0.30489 0.31607 0.26893 0.25592
 3.7125 0.30334 0.32024 0.26598 0.26794
 3.7875 0.30725 0.32336 0.27588 0.28885
 3.8625 0.30061 0.32646 0.29196  0.316
 3.9375 0.29687  0.3238 0.31828 0.34283
 4.0125 0.29461  0.3194  0.3406 0.37101
 4.0875 0.28858  0.3096 0.36094 0.39732
 4.1625  0.2824  0.2934 0.37186 0.41642
