         GO-OH  GO-OH-SV GO-OH-DV GO-OH-SW
   0       0       0       0       0
 0.0375    0       0       0       0
 0.1125    0       0       0       0
 0.1875    0       0       0       0
 0.2625    0       0       0       0
 0.3375    0       0       0       0
 0.4125    0       0       0       0
 0.4875    0       0       0       0
 0.5625    0       0       0       0
 0.6375    0       0       0       0
 0.7125    0       0       0       0
 0.7875    0       0       0       0
 0.8625    0       0       0       0
 0.9375    0       0       0       0
 1.0125    0       0       0       0
 1.0875    0       0       0       0
 1.1625    0       0       0       0
 1.2375    0       0       0       0
 1.3125    0       0       0       0
 1.3875    0       0       0       0
 1.4625    0       0       0       0
 1.5375    0       0       0       0
 1.6125    0       0       0       0
 1.6875    0       0       0       0
 1.7625    0       0       0       0
 1.8375    0       0       0       0
 1.9125    0       0       0       0
 1.9875    0       0       0       0
 2.0625 3.71E-050.0008010.0003410.000333
 2.1375  0.0037 0.02268 0.01337  0.0113
 2.2125 0.05489 0.16034 0.13164 0.14581
 2.2875  0.262  0.46876 0.44352 0.56314
 2.3625 0.58525 0.80302 0.80036 1.01573
 2.4375 0.82744 0.97333 0.99627 1.20583
 2.5125 0.87148 0.93259 0.99215 1.15157
 2.5875 0.80194  0.8057 0.87116 1.00202
 2.6625 0.68948 0.67072 0.73146 0.87087
 2.7375 0.59186 0.56934 0.62658 0.73502
 2.8125 0.49994 0.49878 0.55026 0.62481
 2.8875  0.4247 0.44104 0.48991 0.52215
 2.9625 0.36526 0.39491 0.44017 0.45466
 3.0375 0.32441  0.3586 0.39205 0.39592
 3.1125 0.29274 0.32343 0.35154 0.35806
 3.1875 0.28827 0.29569  0.3266 0.33387
 3.2625 0.28804 0.27864 0.32234  0.3212
 3.3375 0.29382  0.2693  0.3255 0.31304
 3.4125 0.31011 0.26253 0.33311 0.31074
 3.4875 0.33072 0.26286 0.34052 0.31245
 3.5625  0.3481 0.26889 0.34444 0.32576
 3.6375 0.36905 0.29303 0.33924 0.33509
 3.7125 0.38516 0.31439 0.33693 0.34682
 3.7875 0.39503 0.35024 0.33075 0.35353
 3.8625  0.3946 0.37724 0.33511 0.35976
 3.9375 0.38971 0.40154  0.3447 0.36771
 4.0125 0.38307 0.41152 0.35426 0.38312
 4.0875 0.39703 0.41933 0.37075 0.38931
 4.1625 0.41976 0.43629 0.40057 0.40399
