GO-OH     Ca-Os   Ca-Ow   Ca-Oc
0                 0       0       0
0.0375         0       0       0
0.1125         0       0       0
0.1875         0       0       0
0.2625         0       0       0
0.3375         0       0       0
0.4125         0       0       0
0.4875         0       0       0
0.5625         0       0       0
0.6375         0       0       0
0.7125         0       0       0
0.7875         0       0       0
0.8625         0       0       0
0.9375         0       0       0
1.0125         0       0       0
1.0875         0       0       0
1.1625         0       0       0
1.2375         0       0       0
1.3125         0       0       0
1.3875         0       0       0
1.4625         0       0       0
1.5375         0       0       0
1.6125         0       0       0
1.6875         0       0       0
1.7625         0       0       0
1.8375         0       0       0
1.9125         0       0       0
1.9875         0       0       0
2.0625   0.01307 0.000137 3.71E-05
2.1375   0.72405 0.03738  0.0037
2.2125   4.34832 0.74499 0.05489
2.2875   7.00426 3.30244   0.262
2.3625   5.40371 5.82612 0.58525
2.4375   2.97158 6.07493 0.82744
2.5125   1.48716 4.85967 0.87148
2.5875   0.77727 3.49186 0.80194
2.6625   0.45436 2.48509 0.68948
2.7375   0.30391  1.8433 0.59186
2.8125   0.23034 1.46357 0.49994
2.8875   0.19714 1.26141  0.4247
2.9625    0.1857 1.16587 0.36526
3.0375   0.18593 1.13369 0.32441
3.1125   0.19674 1.14548 0.29274
3.1875   0.21455 1.17174 0.28827
3.2625   0.24068 1.20124 0.28804
3.3375   0.27621 1.23655 0.29382
3.4125   0.32018 1.26877 0.31011
3.4875   0.37643 1.29561 0.33072
3.5625   0.44226 1.32317  0.3481
3.6375   0.51614 1.34372 0.36905
3.7125   0.59489 1.35979 0.38516
3.7875   0.67767 1.36358 0.39503
3.8625   0.76131 1.36417  0.3946
3.9375   0.84432  1.3527 0.38971
4.0125   0.92416 1.33254 0.38307
4.0875   1.00012 1.30736 0.39703
4.1625   1.07044 1.27724 0.41976
4.2375   1.13099 1.24471 0.45336
4.3125   1.18215  1.2098 0.48672
4.3875    1.2242  1.1804 0.51013
4.4625   1.26103 1.15835 0.52526
4.5375   1.28786 1.14539 0.53142
4.6125   1.30315 1.14023 0.52653
4.6875   1.30089 1.14442 0.51877
4.7625   1.24806 1.14843 0.51248
4.8375   1.13181 1.14628 0.50719
4.9125   1.00759 1.13757 0.51322
4.9875   0.92465  1.1312 0.52619
5.0625   0.88253 1.12953 0.54743
5.1375    0.8666 1.13335 0.56036
5.2125   0.86523  1.1358 0.55865
5.2875   0.86935 1.13415 0.54812
5.3625   0.87782 1.12664 0.54055
5.4375   0.88674 1.11552 0.53768
5.5125   0.89638 1.09644 0.54809
5.5875   0.90774   1.072 0.56363
5.6625   0.91674 1.04448 0.58659
5.7375    0.9307 1.01646 0.60917
5.8125   0.94981 0.98935 0.62717
5.8875   0.97356 0.96478 0.63577
5.9625   1.00597  0.9432  0.6326
6.0375    1.0381 0.92631 0.62626
6.1125   1.07214 0.91211 0.61844
6.1875   1.10483 0.89976 0.60961
6.2625   1.13599 0.88996  0.6064
6.3375    1.1649 0.87866 0.60906
6.4125   1.19145 0.86476 0.61072
6.4875    1.2136 0.85165 0.62247
6.5625   1.23255 0.83696 0.63602
6.6375   1.25133 0.82205 0.64902
6.7125   1.26757 0.81114 0.67288
6.7875   1.28109 0.80241 0.69382
6.8625   1.29734 0.79998 0.70682
6.9375   1.31075 0.80213 0.72111
7.0125   1.32158 0.80406 0.72324
7.0875   1.32422 0.80644 0.72259
7.1625   1.31737 0.80855 0.71326
7.2375   1.30159 0.81181  0.7099
7.3125   1.27737 0.81327  0.7016
7.3875   1.24838  0.8163 0.69816
7.4625   1.21816 0.81862 0.69148
7.5375   1.19254 0.82025   0.693
7.6125   1.17324 0.82297 0.69013
7.6875   1.15545 0.82762 0.68558
7.7625   1.14124 0.83073 0.68082
7.8375   1.12933 0.83543 0.67679
7.9125   1.11841 0.84091 0.67914
7.9875   1.10783 0.84571 0.68502
8.0625   1.09841 0.85137 0.68943
8.1375   1.08867 0.85916 0.70051
8.2125   1.07956 0.86755 0.71589
8.2875   1.07317 0.87812 0.72834
8.3625    1.0692  0.8906 0.73876
8.4375   1.06793 0.90228 0.74486
8.5125   1.06878 0.91264 0.74914
8.5875   1.06912 0.92175 0.75402
8.6625   1.07013 0.92682 0.76558
8.7375   1.07175 0.93105 0.77312
8.8125   1.07433  0.9339  0.7836
8.8875   1.07834 0.93721 0.78834
8.9625   1.08064  0.9385 0.78569
9.0375   1.08581 0.93726 0.78232
9.1125   1.09245 0.93577 0.77275
9.1875   1.09973 0.93148 0.76659
9.2625   1.10763 0.92836 0.76189
9.3375   1.11503 0.92307 0.75814
9.4125   1.11978 0.91995 0.75922
9.4875   1.12303 0.91744  0.7644
9.5625   1.12462 0.91647 0.77142
9.6375    1.1272 0.91851  0.7818
9.7125   1.12759 0.92204 0.79007
9.7875   1.12385 0.92855   0.798
9.8625   1.11718 0.93555  0.7999
9.9375   1.10682 0.94359 0.80653
10.0125  1.09417  0.9519 0.80252
10.0875  1.08015 0.95914 0.80053
10.1625  1.06623 0.96531 0.79884
10.2375  1.05429 0.97083 0.79975
10.3125  1.04611 0.97474 0.80704
10.3875  1.04064 0.97831 0.81924
10.4625  1.03602 0.98118 0.83338
10.5375  1.03319 0.98241  0.8458
10.6125  1.02991 0.98631 0.85263
10.6875  1.02671 0.99035 0.85736
10.7625  1.02589 0.99393 0.85672
10.8375  1.02515 0.99992 0.85362
10.9125  1.02472 1.00679 0.84996
10.9875  1.02371 1.01297 0.84691
11.0625    1.022 1.02089  0.8454
11.1375  1.01856 1.02956 0.84367
11.2125  1.01587 1.03603 0.84729
11.2875  1.01238 1.04253 0.84463
11.3625  1.01093 1.04914 0.84603
11.4375  1.00914 1.05461 0.84793
11.5125  1.00916  1.0597 0.85452
11.5875   1.0092 1.06324 0.86237
11.6625  1.00905 1.06642 0.86968
11.7375  1.00904 1.06865 0.87433
11.8125  1.00816 1.06692 0.87622
11.8875  1.00595  1.0658   0.873
11.9625  1.00202 1.06346 0.86864
12.0375  0.99818 1.06225 0.86539
12.1125  0.99398 1.06235 0.85877
12.1875   0.9904 1.06301 0.85784
12.2625  0.98662 1.06453 0.85766
12.3375  0.98307 1.06586 0.86188
12.4125  0.97959 1.06783 0.86697
12.4875  0.97435 1.06981 0.87198
12.5625  0.96985 1.07062 0.87781
12.6375  0.96522 1.07112 0.88056
12.7125  0.96126 1.07272 0.88065
12.7875  0.95927 1.07423 0.87834
12.8625  0.95929 1.07691 0.87068
12.9375  0.96133 1.08016 0.86486
13.0125  0.96344 1.08421 0.85695
13.0875  0.96543  1.0886 0.84859
13.1625  0.96745 1.09216 0.84422
13.2375  0.96752 1.09662 0.84951
13.3125  0.96624 1.10009 0.85637
13.3875  0.96512 1.10458  0.8662
13.4625  0.96263 1.10815 0.87151
13.5375  0.95907  1.1119 0.87632
13.6125  0.95706 1.11576 0.87352
13.6875  0.95634 1.11827 0.86767
13.7625  0.95528 1.12026 0.86704
13.8375  0.95559 1.12183 0.86956
13.9125  0.95541 1.12311 0.87647
13.9875  0.95462 1.12422 0.88763
14.0625   0.9536 1.12365 0.89859
14.1375  0.95161 1.12459 0.90554
14.2125  0.94899 1.12322  0.9126
14.2875  0.94594 1.12237 0.91628
14.3625  0.94223 1.12203  0.9195
14.4375  0.93882 1.12171 0.92002
14.5125  0.93619 1.12062 0.91622
14.5875  0.93421 1.12007   0.914
14.6625  0.93303 1.11793 0.90858
14.7375  0.93309 1.11574 0.90633
14.8125  0.93325 1.11238 0.90702
14.8875  0.93377 1.10893 0.91109
14.9625   0.9351 1.10515 0.91332
