fs      200K    300K    400K    500K
0       0.03732 0.05171 0.06393 0.09592
50      0.03732 0.05173 0.064   0.09596
100     0.03732 0.05174 0.06406 0.09599
150     0.03732 0.05175 0.06413 0.09603
200     0.03732 0.05176 0.0642  0.09607
250     0.03732 0.05177 0.06426 0.09611
300     0.03732 0.05178 0.06433 0.09614
350     0.03732 0.05179 0.06439 0.09618
400     0.03733 0.0518  0.06446 0.09622
450     0.03733 0.05181 0.06453 0.09626
500     0.03733 0.05182 0.06459 0.09629
550     0.03733 0.05183 0.06466 0.09633
600     0.03733 0.05184 0.06472 0.09637
650     0.03733 0.05185 0.06479 0.09641
700     0.03733 0.05187 0.06486 0.09644
750     0.03733 0.05188 0.06492 0.09648
800     0.03733 0.05189 0.06499 0.09652
850     0.03733 0.0519  0.06505 0.09656
900     0.03733 0.05191 0.06512 0.09659
950     0.03733 0.05192 0.06518 0.09663
1000    0.03733 0.05193 0.06525 0.09667
1050    0.03733 0.05194 0.06531 0.09671
1100    0.03733 0.05195 0.06538 0.09674
1150    0.03733 0.05196 0.06544 0.09678
1200    0.03733 0.05197 0.06551 0.09682
1250    0.03733 0.05198 0.06557 0.09686
1300    0.03733 0.05199 0.06564 0.0969
1350    0.03733 0.052   0.0657  0.09693
1400    0.03734 0.05201 0.06577 0.09697
1450    0.03734 0.05203 0.06583 0.09701
1500    0.03734 0.05204 0.0659  0.09705
1550    0.03734 0.05205 0.06596 0.09708
1600    0.03734 0.05206 0.06603 0.09712
1650    0.03734 0.05207 0.06609 0.09716
1700    0.03734 0.05208 0.06616 0.0972
1750    0.03734 0.05209 0.06622 0.09724
1800    0.03734 0.0521  0.06628 0.09727
1850    0.03734 0.05211 0.06635 0.09731
1900    0.03734 0.05212 0.06641 0.09735
1950    0.03734 0.05213 0.06648 0.09739
2000    0.03734 0.05214 0.06654 0.09742
2050    0.03734 0.05215 0.06661 0.09746
2100    0.03734 0.05216 0.06667 0.0975
2150    0.03734 0.05217 0.06673 0.09754
2200    0.03734 0.05218 0.0668  0.09758
2250    0.03734 0.0522  0.06686 0.09761
2300    0.03734 0.05221 0.06693 0.09765
2350    0.03735 0.05222 0.06699 0.09769
2400    0.03735 0.05223 0.06705 0.09773
2450    0.03735 0.05224 0.06712 0.09777
2500    0.03735 0.05225 0.06718 0.0978
2550    0.03735 0.05226 0.06724 0.09784
2600    0.03735 0.05227 0.06731 0.09788
2650    0.03735 0.05228 0.06737 0.09792
2700    0.03735 0.05229 0.06743 0.09796
2750    0.03735 0.0523  0.0675  0.09799
2800    0.03735 0.05231 0.06756 0.09803
2850    0.03735 0.05232 0.06762 0.09807
