	         200K	 300K	 400K	500K
0        	0.00507	-0.01475	-0.03978	-0.0159
0.004	0.32483	0.34367	0.36075	0.339
0.008	0.59799	0.58939	0.60637	0.568
0.012	0.72775	0.75372	0.69044	0.62493
0.016	0.93431	0.91691	0.81028	0.79143
0.02	        1.11041	1.11017	1.06298	0.9241
0.024	1.34265	1.30967	1.20447	1.1413
0.028	1.52685	1.47622	1.28244	1.22945
0.032	1.65413	1.58296	1.46359	1.40859
0.036	1.80687	1.71176	1.54304	1.4812
0.04	        1.8961	1.86574	1.73384	1.53163
0.044	2.05419	1.97541	1.78888	1.63245
0.048	2.17453	2.05396	1.84289	1.73297
0.052	2.25702	2.1335	1.97388	1.76071
0.056	2.26777	2.23628	2.03878	1.89429
0.06  	2.39136	2.39411	2.10179	2.01976
0.064	2.43869	2.45483	2.16387	1.99095
0.068	2.47839	2.47124	2.17134	2.13256
0.072	2.53531	2.51704	2.2588	2.08077
0.076	2.52678	2.53576	2.31735	2.0557
0.08  	2.54126	2.59777	2.36306	2.16396
0.084	2.56573	2.55015	2.38446	2.18445
0.088	2.61678	2.51438	2.36971	2.13811
0.092	2.63416	2.54015	2.29803	2.07816
0.096	2.62966	2.49739	2.29689	2.05192
0.1    	2.6119	2.55225	2.29278	2.05215
0.104	2.62852	2.4391	2.29874	2.06905
0.108	2.62635	2.44758	2.32116	2.03815
0.112	2.5819	2.47885	2.33361	1.88302
0.116	2.64903	2.43367	2.30504	1.99585
0.12  	2.60706	2.36702	2.27714	1.97747
0.124	2.60071	2.30049	2.19766	1.88245
0.128	2.54115	2.28167	2.14615	1.82836
0.132	2.55502	2.22352	2.08837	1.79121
0.136	2.49403	2.14986	2.06803	1.70103
0.14  	2.40201	2.1669	1.96814	1.79159
0.144	2.37009	2.08275	1.9235	1.82579
0.148	2.33811	2.02656	1.88094	1.69866
0.152	2.33177	2.06781	1.8007	1.67748
0.156	2.21787	1.98462	1.69948	1.70491
0.16  	2.15836	1.89445	1.71719	1.60695
0.164	2.12436	1.82313	1.64883	1.58711
0.168	2.07361	1.76842	1.67348	1.54665
0.172	2.06062	1.75823	1.59943	1.51243
0.176	2.01228	1.7333	1.57389	1.38159
0.18  	1.96288	1.79669	1.4719	1.3999
0.184	1.92216	1.77599	1.4761	1.42896
0.188	1.84133	1.69386	1.45634	1.39612
0.192	1.83839	1.65545	1.42439	1.30256
0.196	1.83259	1.65607	1.26706	1.28711
0.2    	1.79833	1.65399	1.26503	1.24476
0.204	1.71591	1.66235	1.28979	1.23951
0.208	1.68907	1.55879	1.26522	1.17536
0.212	1.625	1.52615	1.19406	1.14573
0.216	1.56784	1.54245	1.19851	1.16049
0.22  	1.50064	1.50921	1.15576	1.0991
0.224	1.47666	1.4192	1.1114	1.07804
0.228	1.44254	1.3325	1.15807	1.03782
0.232	1.45333	1.30397	1.10703	1.00792
0.236	1.4455	1.25373	1.09016	1.03813
0.24  	1.44263	1.2262	1.05175	1.08091
0.244	1.40577	1.18928	1.00505	1.10958
0.248	1.36355	1.20444	1.02803	1.05216
0.252	1.25937	1.13238	1.00571	1.01227
0.256	1.21142	1.13016	1.05466	1.02456
0.26  	1.20747	1.12838	1.05856	0.95908
0.264	1.16865	1.11519	1.04731	1.02641
0.268	1.12438	1.02379	0.98871	1.02388
0.272	1.10968	1.05214	0.92159	1.0084
0.276	1.09181	0.99987	0.87906	0.94789
0.28  	1.02117	0.96693	0.86098	0.93684
0.284	0.9795	1.00652	0.79651	0.90075
0.288	0.90383	0.92649	0.83988	0.92185
0.292	0.84252	0.88152	0.8851	0.94207
0.296	0.82893	0.85101	0.80433	0.87265
0.3    	0.82263	0.78516	0.77178	0.88507
0.304	0.79893	0.78437	0.77768	0.86438
0.308	0.73955	0.75758	0.82037	0.87622
0.312	0.67073	0.71801	0.74018	0.79013
0.316	0.70088	0.67193	0.68784	0.77443
0.32  	0.66504	0.66307	0.6822	0.67843
0.324	0.55501	0.68873	0.62163	0.65422
0.328	0.51561	0.57069	0.60548	0.69524
0.332	0.49514	0.61435	0.58332	0.66676
0.336	0.48482	0.54404	0.55203	0.62198
0.34  	0.48875	0.57217	0.55705	0.52996
0.344	0.43207	0.54049	0.55266	0.60003
0.348	0.38218	0.50988	0.49273	0.51713
0.352	0.34361	0.48502	0.42889	0.5458
0.356	0.33647	0.49058	0.4803	0.51909
0.36  	0.27984	0.42261	0.39356	0.50588
0.364	0.29222	0.39383	0.31121	0.46206
0.368	0.23371	0.37829	0.28248	0.47422
0.372	0.16772	0.34465	0.29421	0.4599
0.376	0.14996	0.29674	0.29863	0.38562
0.38  	0.1627	0.31232	0.25788	0.42711
0.384	0.15318	0.25789	0.2224	0.42052
0.388	0.07448	0.21569	0.20908	0.3927
0.392	0.04276	0.19395	0.13504	0.43163
0.396	0.05021	0.20351	0.08772	0.37152
0.4    	0.0368	0.17018	0.06341	0.3461
0.404	0.04592	0.16029	0.09253	0.33094
0.408	-0.01938	0.15438	0.00963	0.33001
0.412	-0.09302	0.13657	0.03432	0.26926
0.416	-0.022	0.10854	-0.01814	0.25154
0.42  	-0.03585	0.15698	-0.11171	0.22682
0.424	-0.09129	0.21439	-0.11907	0.27828
0.428	-0.07011	0.17122	-0.10125	0.21857
0.432	-0.07415	0.13665	-0.06972	0.24662
0.436	-0.054	0.12834	-0.12747	0.24759
0.44  	-0.11066	0.16521	-0.14377	0.24375
0.444	-0.09976	0.1192	-0.21564	0.29241
0.448	-0.13441	0.17164	-0.19343	0.26019
0.452	-0.10151	0.10236	-0.2012	0.242
0.456	-0.15965	0.06408	-0.24096	0.24317
0.46  	-0.14536	0.08021	-0.25715	0.15276
0.464	-0.13079	0.07415	-0.28325	0.16076
0.468	-0.14965	0.08857	-0.28989	0.10672
0.472	-0.1203	0.07304	-0.28741	0.05834
0.476	-0.14365	0.06017	-0.37581	0.11185
0.48  	-0.09697	0.11567	-0.3084	0.02807
0.484	-0.08164	0.13775	-0.39785	0.00565
